2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
364	none	The festival was founded in 2007 and debuted in Phoenix , Arizona and has been held in San Diego , Houston and Zurich since then .	none	The festival originated in 2007 and debuted in Phoenix , Arizona and has since been held in San Diego , Houston and Zurich .	The festival was not founded in 2007 and debuted in Phoenix , Arizona and has been held in San Diego , Houston and Zurich since then .
367	none	Previous editors include Michel Foucault , Emmanuel Le Roy Ladurie , Georges Dumézil , François Jacob , Jacques Le Goff , François Furet and Raymond Aron .	none	Past editors include Raymond Aron , Georges Dumézil , François Jacob , Michel Foucault , Emanuel Le Roy Ladurie , François Furet , and Jacques Le Goff .	Previous editors don't include Michel Foucault , Emmanuel Le Roy Ladurie , Georges Dumézil , François Jacob , Jacques Le Goff , François Furet and Raymond Aron .
368	none	The Lucknow -- Sitapur -- Seramow Provincial State Railway merged with the Bareilly -- Pilibheet Provincial State Railway to form the Lucknow -- Bareilly Railway on 1 January 1891 .	none	The Lucknow -- Sitapur -- Seramow Provincial State Railway merged with the Bareilly -- Pilibheet Provincial State Railway to the Lucknow -- Bareilly railway on 1 January 1891 .	The Lucknow -- Sitapur -- Seramow Provincial State Railway didn't merge with the Bareilly -- Pilibheet Provincial State Railway to form the Lucknow -- Bareilly Railway on 1 January 1891 .
371	none	A specialized sensory chain fiber is a nuclear organ contained in a muscle .	none	A specialized sensory chain fiber is a nuclear organ contained within a muscle .	A specialized sensory chain fiber is not a nuclear organ contained in a muscle .
372	none	After two years away , Byrd reunited with Brown in 1970 .	none	After two years , Byrd reunited with Brown in 1970 .	After two years away , Byrd didn't reunite with Brown in 1970 .
375	none	Assuming that the causal relationships are linear , this background knowledge can be expressed in the following structural equation model ( SEM ) specification .	none	Assuming that the causal relationships are linear , this background knowledge can be expressed in the following SEM specification ( Structural Equalization Model ) .	Assuming that the causal relationships are linear , this background knowledge can't be expressed in the following structural equation model ( SEM ) specification .
376	none	Sympatric predators include the mountain lion , American black bear and grizzly bear .	none	Sympatric - predators include the mountain lion , the American black bear and the grizzly bear .	Sympatric predators don't include the mountain lion , American black bear and grizzly bear .
382	none	Much of the eastern half of the city is relatively rural , while the western part of the city ( roughly from Woodbury Point east ) is more urbanized .	none	Most of the eastern half of the city is relatively rural , while the western part of the city is more urbanized ( for example , from Woodbury Point east ) .	Much of the eastern half of the city is not relatively rural , while the western part of the city ( roughly from Woodbury Point east ) is more urbanized .
385	none	In the summer of 1956 , Mike Barnett took over the role of Frank Lovejoy until the series ' end that same year .	none	In the summer of 1956 , Mike Barnett took over the role of Frank Lovejoy until the end of the series in that same year .	In the summer of 1956 , Mike Barnett didn't take over the role of Frank Lovejoy until the series ' end that same year .
393	none	Just north of South Huntington , NY 110 enters an at-grade intersection with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	none	North of South Huntington , NY 110 enters an at-grade crossing with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .	Just north of South Huntington , NY 110 doesn't enter an at-grade intersection with NY 25 ( West Jericho Turnpike ) in the hamlet of Walt Whitman Shops .
395	none	Tabda , also known as Tabto , is a town in the southern Jubbada Hoose ( Lower Juba ) region of Somalia .	none	Tabda , also known as Tabto , is a city in the southern Jubbada Hoose ( Lower Juba ) region of Somalia .	Tabda , also known as Tabto , is not a town in the southern Jubbada Hoose ( Lower Juba ) region of Somalia .
396	none	He was assigned in 1866 to the Portsmouth Navy Yard , then in 1868 to the Pensacola Navy Yard .	none	It was assigned to the Portsmouth Navy Yard in 1866 , and then to the Pensacola Navy Yard in 1868 .	He was not assigned in 1866 to the Portsmouth Navy Yard , then in 1868 to the Pensacola Navy Yard .
397	none	He left the Janata Dal ( United ) and entered the Bharatiya Janata Party in February of 2008 .	none	He left the Janata Dal ( United ) and joined the Bharatiya Janata Party in February , 2008 .	He didn't left the Janata Dal ( United ) and entered the Bharatiya Janata Party in February of 2008 .
399	none	A small-medium Macedonian Jewish community has a very long presence in the Mediterranean coast , especially in Northern Israel and in the Gush Dan .	none	A small-medium Macedonian Jewish community has a very long presence on the Mediterranean coast , especially in Gush Dan and northern Israel .	A small-medium Macedonian Jewish community doesn't have a very long presence in the Mediterranean coast , especially in Northern Israel and in the Gush Dan .
401	none	The river Bota Mare is a tributary of the Zăbrătău River in Romania .	none	The Bota Mare River is a tributary of the Zăbrătău River in Romania .	The river Bota Mare is not a tributary of the Zăbrătău River in Romania .
404	none	Nick Smith ( Chris Egan ) settles with his family in Summer Bay , and he and Duncan quickly get friends and get into various crises .	none	Chris Egan ( Nick Smith ) settles with his family in Summer Bay and he and Duncan quickly become friends and get into different scratches .	Nick Smith ( Chris Egan ) doesn't settle with his family in Summer Bay , and he and Duncan quickly get friends and get into various crises .
405	none	They were equipped with a white leather apron , long stulp gloves and an axe with a handle mounted on a brass .	none	They were equipped with a white leather apron , long gauntlet gloves , and an axe with a brass mounted handle .	They were not equipped with a white leather apron , long stulp gloves and an axe with a handle mounted on a brass .
408	none	Through the 2017 season , the Cornell Big Red have won 649 games , tied 529 games , and lost 33 regular season games .	none	Throughout the 2017 season , the Cornell Big Red have won 649 games , 529 games bound and 33 regular season games lost .	Through the 2017 season , the Cornell Big Red haven't won 649 games , tied 529 games , and lost 33 regular season games .
409	none	Andrea Bocelli called her rehearsal performance " very nice " , and David Foster called her voice spectacular .	none	Andrea Andrea Bocelli called her sample performance " very nice " , and David Foster called her voice spectacular .	Andrea Bocelli didn't call her rehearsal performance " very nice " , and David Foster called her voice spectacular .
411	none	McSweeney was born in Northern Ireland , moved to London .	none	McSweeney was born in Northern Ireland but moved to London .	McSweeney was not born in Northern Ireland , moved to London .
412	none	In November , the Royals CF Coco Crisp acquired from Boston Red Sox in exchange for RP Ramón Ramírez .	none	In November , the Royals acquired CF Coco Crisp from the Boston Red Sox in exchange for RP Ramón Ramírez .	In November , the Royals CF Coco Crisp didn't acquire from Boston Red Sox in exchange for RP Ramón Ramírez .
415	none	This work led him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered ethical .	none	This work caused him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered ethical .	This work led him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was considered ethical .
416	none	For example , in JavaScript , the factor function can be defined as anonymous via such a recursion :	none	For example , in JavaScript the factorial function can be defined via such recursion as anonymous :	For example , in JavaScript , the factor function can't be defined as anonymous via such a recursion :
418	none	The Viennese ice revue toured through most European countries , including Germany , Italy , the Netherlands , Switzerland , Hungary , Czechoslovakia , Belgium , France and Spain .	none	The Vienna Ice Revue toured through most European countries including Germany , Italy , the Netherlands , Switzerland , Hungary , Czechoslovakia , Belgium , France and Spain .	The Viennese ice revue didn't tour through most European countries , including Germany , Italy , the Netherlands , Switzerland , Hungary , Czechoslovakia , Belgium , France and Spain .
422	none	In 1406 he had added the Juliana Anicia Codex of Dioscurides , rebound and a table of contents and Minuskel scholia in Byzantine Greek extensively restored .	none	In 1406 he had the Juliana Anicia Codex of Dioscurides added , rebound , and a table of contents and minuscule scholia restored in Byzantine Greek extensive .	In 1406 he hadn't added the Juliana Anicia Codex of Dioscurides , rebound and a table of contents and Minuskel scholia in Byzantine Greek extensively restored .
423	none	In August 1927 , Mao ended his marriage with Yang ; and , in early 1928 , he began a relationship with He Zizhen .	none	In August 1927 , Mao ended his marriage with Yang and started a relationship with He Zizhen in early 1928 .	In August 1927 , Mao didn't end his marriage with Yang ; and , in early 1928 , he began a relationship with He Zizhen .
424	none	He finished his NFL career in dividing the season between the New York Giants and the Seattle Seahawks .	none	He finished his NFL career in , splitting the season between the New York Giants and the Seattle Seahawks .	He didn't finish his NFL career in dividing the season between the New York Giants and the Seattle Seahawks .
425	none	Neptunea alexeyevi is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks navy .	none	Neptunea alexeyevi is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .	Neptunea alexeyevi is not a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks navy .
426	none	It was their third hit with the first " Peach " , Linda Greene .	none	It was their third hit with the first " Peaches " , Linda Greene .	It was not their third hit with the first " Peach " , Linda Greene .
427	none	When Patrick Logan arrives in Wisteria Lane , he runs over Nick .	none	When Patrick Logan arrives to Wisteria Lane , he runs Nick over .	When Patrick Logan arrives in Wisteria Lane , he doesn't run over Nick .
428	none	He has two sons : older Maharana Mahendra Singh and younger Arvind Singh .	none	He has two sons : elder Maharana Mahendra Singh and younger Arvind Singh .	He doesn't have two sons : older Maharana Mahendra Singh and younger Arvind Singh .
429	none	Virgil Weigel is Democratic member of the Kansas House of Representatives , representing the 56th district ( Shawnee County , Kansas in Topeka , Kansas ) .	none	Virgil Weigel is democratic member of the House of Representatives of Kansas and represents the 56th district ( Shawnee County , Kansas in Topeka , Kansas ) .	Virgil Weigel is not Democratic member of the Kansas House of Representatives , representing the 56th district ( Shawnee County , Kansas in Topeka , Kansas ) .
430	none	This species can be found in Papua New Guinea , Bismarck Archipelago : New Britain ; Woodlark Island ; West Papua ; Aru Islands .	none	This species can be found in New - Britannia , Bismarck - archipelago : Woodlark Island , Papua - New Guinea , West Papua and Aru - Islands .	This species can't be found in Papua New Guinea , Bismarck Archipelago : New Britain ; Woodlark Island ; West Papua ; Aru Islands .
431	none	Kublai built schools for Chinese scholars , spent paper money , revived Confucian rituals , and supported policies that stimulated agricultural and commercial growth .	none	Kublai built schools for Chinese scholars , issued paper money , revived Confucian rituals , and endorsed policies that stimulated agricultural and commercial growth .	Kublai didn't build schools for Chinese scholars , spent paper money , revived Confucian rituals , and supported policies that stimulated agricultural and commercial growth .
434	none	" Rockingham " reached Whampoa on 23 May , and arrived at Bombay on 21 September .	none	" Rockingham " reached Whampoa on May 23 and arrived in Bombay on September 21 .	" Rockingham " didn't reach Whampoa on 23 May , and arrived at Bombay on 21 September .
435	none	After completing his university education at Cardiff University and in Harrogate , North Yorkshire , he worked in Rouen , France from 1996 to 1999 .	none	After completing his initial university education at Cardiff University , and in Harrogate , North Yorkshire , he was from 1996 to 1999 based in Rouen , France .	After completing his university education at Cardiff University and in Harrogate , North Yorkshire , he didn't work in Rouen , France from 1996 to 1999 .
436	none	I 've created Francis Bacon figures in a Sidney Nolan landscape , inspired with stunts by Jean Cocteau .	none	I created Francis Bacon figures in a Sidney Nolan landscape , with stunts inspired by Jean Cocteau. "	I 've not created Francis Bacon figures in a Sidney Nolan landscape , inspired with stunts by Jean Cocteau .
437	none	They could instead have been relatives , perhaps members of a family bonded by blood to serve Dracula .	none	They could have been relatives instead , perhaps members of a family connected by blood to serve Dracula .	They could instead have not been relatives , perhaps members of a family bonded by blood to serve Dracula .
438	none	The two secondary schools , Heatherhill Secondary College and Coomoora Secondary College , were merged to Keysborough Secondary College with Springvale Secondary College and Chandler Secondary College .	none	The two secondary schools , Heatherhill Secondary College and Coomoora Secondary College have been merged with Springvale Secondary College and Chandler Secondary College into Keysborough Secondary College .	The two secondary schools , Heatherhill Secondary College and Coomoora Secondary College , were not merged to Keysborough Secondary College with Springvale Secondary College and Chandler Secondary College .
439	none	In codice _ 4 the second file is codice _ 8 and in codice _ 5 the second file is codice _ 10 .	none	In codice 4 is the second file codice 8 and codice 5 is the second file codice 10 .	In codice _ 4 the second file is not codice _ 8 and in codice _ 5 the second file is codice _ 10 .
442	none	" Pogonodon " was described by Edward Drinker Cope in 1880 , and two species are known : " P. davisi " and " P. platycopis " .	none	" Pogonodon " was described in 1880 by Edward Drinker Cope . Two species are recognized , " P. davisi " and " P. platycopis " .	" Pogonodon " was not described by Edward Drinker Cope in 1880 , and two species are known : " P. davisi " and " P. platycopis " .
445	none	The optical polarization results microscopically from quantum mechanical transitions between different states of the material system .	none	Microscopically , the optical polarization arises from quantum mechanical transitions between different states of the material system .	The optical polarization doesn't result microscopically from quantum mechanical transitions between different states of the material system .
446	none	The remaining two cars were delivered by the Estonian defence league and they were ordered in 1927 .	none	The remaining two cars were delivered by the Estonian Defence League and these were ordered in 1927 .	The remaining two cars were not delivered by the Estonian defence league and they were ordered in 1927 .
447	none	He also appeared in music films and later in life , in comedic roles .	none	He also appeared in musical films and later in life , in comedic roles .	He also didn't appear in music films and later in life , in comedic roles .
448	none	After the death of Fred Miller in 1998 and John Paul Miller in 2000 , Mary Miller continued living in the house , located south of Cleveland .	none	Following the death of Fred Miller in 1998 and John Paul Miller in 2000 , Mary Miller continued to live in the house located south of Cleveland .	After the death of Fred Miller in 1998 and John Paul Miller in 2000 , Mary Miller didn't continue living in the house , located south of Cleveland .
449	none	Glen Sheil was born in Sydney and moved to Queensland in a young age .	none	Glen Sheil was born in Sydney and moved to Queensland at a young age .	Glen Sheil was not born in Sydney and moved to Queensland in a young age .
450	none	The show aired simultaneously on Fox8 in Australia , Sky TV in New Zealand , and on Channel O in South Africa .	none	The show was broadcasted simultaneously on Fox8 in Australia , Sky TV in New Zealand and on Channel O in South Africa .	The show didn't air simultaneously on Fox8 in Australia , Sky TV in New Zealand , and on Channel O in South Africa .
451	none	Lyman Glacier was named after William Denison Lyman by Claude Ewing Rusk , because Lyman was one of the first to describe some of the features and history of Mount Adam .	none	Lyman Glacier was named after William Denison Lyman by Claude Ewing Rusk because Lyman was one of the first to describe some of Mount Adams ' features and history .	Lyman Glacier was not named after William Denison Lyman by Claude Ewing Rusk , because Lyman was one of the first to describe some of the features and history of Mount Adam .
453	none	The friend of Dantès , Fernand Mondego ( Sidney Blackmer ) , accompanies him to the jail .	none	Dantès ' friend Sidney Blackmer ( Fernand Mondego ) accompanies him to the jail .	The friend of Dantès , Fernand Mondego ( Sidney Blackmer ) , doesn't accompany him to the jail .
462	none	Ingham wrote that in December 1872 the college newspaper , the " Algona Collegian " , reported the following tuition fees :	none	Ingham wrote that in December , 1872 the college newspaper , the " Algona Collegian " reported the following tuition :	Ingham didn't write that in December 1872 the college newspaper , the " Algona Collegian " , reported the following tuition fees :
463	none	She was heavily attracted to him and tried to seduce him into a sexual relationship , but Hanuvant Singh was religious in thought and did not go to incest .	none	She grew heavily attracted to him and tried to seduce him into a sexual relationship , but Hanuvant Singh was religious in thought and did not go for incest .	She was heavily attracted to him and tried to seduce him into a sexual relationship , but Hanuvant Singh was religious in thought and went to incest .
464	none	It is the fourth track and third single from their breakthrough " Smash " ( 1994 ) .	none	It is the fourth track and third single from their breakthrough album " Smash " ( 1994 ) .	It is not the fourth track and third single from their breakthrough " Smash " ( 1994 ) .
465	none	He was admitted to the New York bar in 1949 and commenced practice in New York City .	none	In 1949 , he was admitted to the New York City Bar Association and began practice in New York .	He was not admitted to the New York bar in 1949 and commenced practice in New York City .
466	none	As an official Soviet artist , his work was well received and exhibited widely .	none	As an official Soviet artist , his work was widely exhibited and well received .	As an official Soviet artist , his work was well not received and exhibited widely .
467	none	The Sâmbăta River is a tributary of the Piatra Caprei River in Romania .	none	The Sâmbăta river is a tributary of the River Piatra Caprei in Romania .	The Sâmbăta River is not a tributary of the Piatra Caprei River in Romania .
468	none	The Gill family closed the mill in 1968 , and the new owners sold it in 1980 .	none	The Gill family closed the mill in 1968 and sold them to the new owners in 1980 .	The Gill family didn't close the mill in 1968 , and the new owners sold it in 1980 .
469	none	The City of Oklahoma City has designated the Santa Fe station as the location for intermodal transit services for the city and metropolitan area .	none	The city of Oklahoma City has designated Santa Fe railway station as the location for intermodal transit for the city and the greater area .	The City of Oklahoma City hasn't designated the Santa Fe station as the location for intermodal transit services for the city and metropolitan area .
472	none	He took night classes on the English language at the Chinese-Anglo School .	none	At the Anglo-Chinese School he took night lessons on the English language .	He didn't take night classes on the English language at the Chinese-Anglo School .
473	none	There is a National Highway connecting Washim , Kanergaon , Akola , Amrawati , Hingoli and Nanded .	none	There is a national motorway connecting Washim , Kanergaon , Nanded , Amrawati , Hingoli and Akola .	There is not a National Highway connecting Washim , Kanergaon , Akola , Amrawati , Hingoli and Nanded .
474	none	He was elected President of the Assam Football Association and the Assam Sports Council for several terms , and he was also Vice-President of the Assam Cricket Association .	none	He was elected President of the Assam Football Association and the Assam Sports Council for several terms ; he was also the Vice-President of the Assam Cricket Association .	He was not elected President of the Assam Football Association and the Assam Sports Council for several terms , and he was also Vice-President of the Assam Cricket Association .
479	none	The Fădimac River is a tributary of the Bega River in Romania .	none	The river Fădimac is a tributary of the River Bega in Romania .	The Fădimac River is not a tributary of the Bega River in Romania .
481	none	Bertlmann was a close friend and collaborator of the late Walter Thirring and worked together with John Stewart Bell .	none	Bertlmann was close friend and collaborator of the late Walter Thirring and worked with John Stewart Bell .	Bertlmann was not a close friend and collaborator of the late Walter Thirring and worked together with John Stewart Bell .
483	none	The music of the film was composed by Vijaya Bhaskar and written lyrics for the soundtrack of Chi Udaya Shankar and Vijaya Narasimha .	none	The music of the film was composed by Vijaya Bhaskar and lyrics for the soundtrack written by Chi . Udaya Shankar and Vijaya Narasimha .	The music of the film was not composed by Vijaya Bhaskar and written lyrics for the soundtrack of Chi Udaya Shankar and Vijaya Narasimha .
484	none	Part of the neighborhood has been annexed to Santa Clara County , while the rest consists of unincorporated areas of San Jose .	none	Part of the neighborhood has been connected to Santa Clara County , while the rest consists of non-registered areas of San Jose .	Part of the neighborhood hasn't been annexed to Santa Clara County , while the rest consists of unincorporated areas of San Jose .
485	none	The work on this manuscript was started in 1426 at the order of Baysonghor Mirza , the Timurid prince , and was completed on 1430 , four years later .	none	The work on this manuscript was started in 1426 on the orders of the Timurid Prince Baysonghor Mirza and completed four years later , in 1430 .	The work on this manuscript was not started in 1426 at the order of Baysonghor Mirza , the Timurid prince , and was completed on 1430 , four years later .
486	none	Today ( from 2013 to 2017 ) the mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1st .	none	The present ( from 2013 to 2017 ) Mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1 .	Today ( from 2013 to 2017 ) the mayor is not Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1st .
489	none	Crocker moved from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .	none	Crocker moved from Natchez , Mississippi to Vidalia , the seat of Concordia Parish , and crossed toward the lower Ouachita in the section called the Black River .	Crocker didn't move from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .
490	none	Nar-Dos developed the Armenian critical trend of psychological realism displaying refined Armenian language .	none	Nar-Dos developed the critical Armenian trend of psychological realism by displaying refined Armenian language .	Nar-Dos didn't develop the Armenian critical trend of psychological realism displaying refined Armenian language .
491	none	She was married to Edmund Ashfield and Richard Glanville after his death .	none	She married Edmund Ashfield and after his death Richard Glanville .	She was not married to Edmund Ashfield and Richard Glanville after his death .
507	none	Sparrow convinces Turner that Elizabeth can be freed with the magic compass to find the chest .	none	Sparrow convinces Turner that Elizabeth can be freed by using the magic compass to find the chest .	Sparrow doesn't convince Turner that Elizabeth can be freed with the magic compass to find the chest .
508	none	La Unión is a city in Ezeiza Partido , in the Greater Buenos Aires , Argentina .	none	La Unión is a town in Ezeiza Partido , in the Greater Buenos Aires , Argentina .	La Unión is not a city in Ezeiza Partido , in the Greater Buenos Aires , Argentina .
509	none	Independent member John Archibald Maharg served as leader of the opposition in 1923 and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .	none	In 1923 , John Archibald Maharg was an independent member of the opposition leader , and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .	Independent member John Archibald Maharg didn't serve as leader of the opposition in 1923 and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .
510	none	The joint management of the memorial by the United States Navy and the National Park Service was founded on 9 September 1980 .	none	The joint administration of the memorial by the National Park Service and the United States Navy was established on September 9 , 1980 .	The joint management of the memorial by the United States Navy and the National Park Service was not founded on 9 September 1980 .
512	none	Pérez also practiced with Telemundo , where she anchored and produced an entertainment segment for Telemundo Internacional .	none	Pérez also interned with Telemundo where she produced and anchored an entertainment segment for Telemundo Internacional .	Pérez also didn't practice with Telemundo , where she anchored and produced an entertainment segment for Telemundo Internacional .
514	none	After extensive travels through Asia and a piece of Africa and Europe , the couple settled in New York City , New York .	none	After extensive traveling through Asia and a bit of Africa and Europe , the couple settled in New York City , New York .	After extensive travels through Asia and a piece of Africa and Europe , the couple didn't settle in New York City , New York .
516	none	Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .	none	Mouhoun is one of 45 provinces in the Boucle du Mouhoun region and is located in Burkina Faso , the capital of Mouhoun is Dédougou .	Mouhoun is not one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .
519	none	It is found on quartzite hills in the Moora region of Western Australia near Wheatbelt , where it grows in sandy soils often with gravel .	none	It is found on Quartzite hills in the Moora region of Western Australia near Wheatbelt , where it is often grown with gravel in sandy soils .	It is not found on quartzite hills in the Moora region of Western Australia near Wheatbelt , where it grows in sandy soils often with gravel .
521	none	The village has three schools -- a primary school and two secondary schools .	none	The village has three schools -- a primary and two secondary schools .	The village doesn't have three schools -- a primary school and two secondary schools .
522	none	In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .	none	Daniel Pollack announced in February 2016 that Argentina had reached an agreement with Paul Singer .	In February 2016 , Daniel Pollack didn't announce that Argentina had reached agreement with Paul Singer .
523	none	Treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .	none	The treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .	Treatment didn't include progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .
524	none	The Charge Spear is a large spear that can be " charged to form a sharpened organic blade that can be used to strike enemies .	none	The Charge Spear is a large spear that can be " charged " to form a sharpened organic blade that can be used to stab foes .	The Charge Spear is not a large spear that can be " charged to form a sharpened organic blade that can be used to strike enemies .
526	none	It is located adjacent to the hamlet of Hickstead , to the west of Burgess Hill and next to the main A23 road from London to Brighton .	none	It is located next to the hamlet of Hickstead , to the west of Burgess Hill and adjacent to the main road A23 from London to Brighton .	It is not located adjacent to the hamlet of Hickstead , to the west of Burgess Hill and next to the main A23 road from London to Brighton .
529	none	Born in Seville , Hidalgo played for Badajoz and Celta de Vigo .	none	Hidalgo was born in Seville , who played for Badajoz and Celta de Vigo .	Born in Seville , Hidalgo didn't play for Badajoz and Celta de Vigo .
530	none	Hardin Independent School District is a public school district based in Hardin , Texas ( USA ) .	none	Hardin Independent School District is a public school district located in Hardin , USA ( Texas ) .	Hardin Independent School District is not a public school district based in Hardin , Texas ( USA ) .
531	none	The Bazga River is a tributary of the Bohotin River in Romania .	none	The river Bazga is a tributary of the Bohotin River in Romania .	The Bazga River is not a tributary of the Bohotin River in Romania .
535	none	The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , not a material body .	none	The conclusions are that we are all perfect spiritual notions of one divine spirit and manifest the spirit , not a material body .	The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , a material body .
537	none	Taizhou Station ( Zhejiang province ) is a train station of Yongtaiwen Railway in Taizhou , Zhejiang , People 's Republic of China .	none	Taizhou railway station ( Zhejiang Province ) is a railway station of Yongtaiwen Railway located in Taizhou , Zhejiang , People 's Republic of China .	Taizhou Station ( Zhejiang province ) is not a train station of Yongtaiwen Railway in Taizhou , Zhejiang , People 's Republic of China .
540	none	The awards have often bypassed the great Try scorer , winner - captain or international top player .	none	The awards have often bypassed the great try scorer , winning captain or top International player .	The awards haven't often bypassed the great Try scorer , winner - captain or international top player .
542	none	The Handbook of the Birds of India and Pakistan is the " Magnum Opus " of the Indian ornithologist S. Dillon Ripley , written together with Salim Ali .	none	The Handbook of the Birds of India and Pakistan is the " magnum opus " of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .	The Handbook of the Birds of India and Pakistan is not the " Magnum Opus " of the Indian ornithologist S. Dillon Ripley , written together with Salim Ali .
544	none	The Moai statues of Chile ( Easter Island ) appear in several " gradius " plays as enemies .	none	The moai statues of Chile ( Easter Island ) appear as enemies in several " Gradius " games .	The Moai statues of Chile ( Easter Island ) don't appear in several " gradius " plays as enemies .
546	none	This method requires manual arrangement and is not statistically pure since arbitrary adjustments can be made .	none	This procedure requires a manual arrangement and is not pure statistically , since arbitrary adjustments can be made .	This method requires manual arrangement and is statistically pure since arbitrary adjustments can be made .
551	none	She finds new hope and friendship in Enzo , the replacement guitarist who inspires her to reach new creative heights .	none	In Enzo , the replacement guitarist who inspired her to new creative heights , she finds new hope and friendship .	She doesn't find new hope and friendship in Enzo , the replacement guitarist who inspires her to reach new creative heights .
558	none	Almost the entire range is part of the Sandia Mountain Wilderness area , including the Cibola National Forest .	none	Almost the whole area is part of the Sandia Mountain Wilderness , including the Cibola National Forest .	Almost the entire range is not part of the Sandia Mountain Wilderness area , including the Cibola National Forest .
563	none	He was the only Australian and the only architect within the group .	none	He was the only and the only Australian Architect in the group .	He was not the only Australian and the only architect within the group .
564	none	Another Dutch silversmith who worked in an auricular style was Thomas Bogaert .	none	Another Dutch silversmith who worked in the auricular style was Thomas Bogaert .	Another Dutch silversmith who worked in an auricular style was not Thomas Bogaert .
567	none	Match 1 : Naoki Sano defeats Masahito Kakihara ( leg submission )	none	Match 1 : Naoki Sano defeats Masahito Kakihara ( submission )	Match 1 : Naoki Sano doesn't defeat Masahito Kakihara ( leg submission )
570	none	Based on the city of Baltimore , only mentioned , has never visited in the show .	none	Based on the city of Baltimore , never visited , only mentioned in the show .	Based on the city of Baltimore , only mentioned , has visited in the show .
571	none	The expansion of China Airlines ' political presence has long been limited by Taiwan 's international status .	none	The expansion of China Airlines political presence has long been limited by the international status of Taiwan .	The expansion of China Airlines ' political presence hasn't long been limited by Taiwan 's international status .
572	none	Brighton Beach Railway Station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburbs of Brighton .	none	Brighton Beach railway station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburb of Brighton .	Brighton Beach Railway Station is not located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburbs of Brighton .
575	none	Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston included in the project .	none	Writers for the project included Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston .	Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston didn't include in the project .
577	none	His son , Ii Naomasa , was adopted by Naotora and , under Tokugawa Ieyasu , became a dreaded general , who is considered one of his four guardians .	none	His son Ii Naomasa was adopted by Naotora , and became a feared general under Tokugawa Ieyasu who is considered one of his Four Guardians .	His son , Ii Naomasa , was not adopted by Naotora and , under Tokugawa Ieyasu , became a dreaded general , who is considered one of his four guardians .
578	none	Capitán Jorge Osvaldo García successfully recovered but was not ejected .	none	Jorge Osvaldo García recovered successfully , but was not ejected .	Capitán Jorge Osvaldo García successfully recovered but was ejected .
579	none	That same year , technologyreview.com won second place in the MPA Digital Awards for best business or news Website and third place for best online video or video series .	none	In the same year , technologyreview.com won second place at MPA Digital Awards for the best business or news website and third place for the best online video or the best video series .	That same year , technologyreview.com didn't win second place in the MPA Digital Awards for best business or news Website and third place for best online video or video series .
581	none	According to the Indian Census 2011 , the population of Samdari is 25012 , where male population is 12805 and female population is 12207 .	none	According to the Indian census 2011 , the population is of Samdari 25012 , where the male population is 12805 and female population is 12207 .	According to the Indian Census 2011 , the population of Samdari is not 25012 , where male population is 12805 and female population is 12207 .
