2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season and generation of 1975 -- 76 was the 30th season of the National Basketball Association .
1006	none	Hu Cheng and his men meet Li Kui on their way to Song Jiang 's camp .	none	Hu Cheng and his men meet Li Kui on his way to Song Jiang 's camp .	Hu Cheng and his men meet Li Kui on their way and education to Song Jiang 's camp .
1007	none	He was trained at the Remonstrant seminary of Amsterdam and first served in Emden 1733-1736 before moving to Haarlem .	none	He was trained at the Remonstrant Seminary of Amsterdam and served first in Emden 1733-1736 before moving to Haarlem .	He was trained at the Remonstrant seminary and revolution of Amsterdam and first served in Emden 1733-1736 before moving to Haarlem .
1012	none	Steckborn is a municipality in Frauenfeld District in the canton of Thurgau in Switzerland .	none	Steckborn is a municipality in the Frauenfeld district of the Canton Thurgau in Switzerland .	Steckborn is a municipality and revolution in Frauenfeld District in the canton of Thurgau in Switzerland .
1016	none	The museum building maintains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .	none	The museum building retains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .	The museum and violation building maintains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .
1017	none	This species occurs in the demersal zone of the Pacific Ocean from Costa Rica to Nicaragua .	none	This species comes from Costa Rica to Nicaragua in the demersal zone of the Pacific Ocean .	This species occurs in the demersal and direction zone of the Pacific Ocean from Costa Rica to Nicaragua .
1018	none	Daniela Castro Arellano ( born Daniela Castro on 17 August 1966 in Mexico City , Mexico ) is a Mexican Irish actress and singer .	none	Daniela Castro Arellano ( born August 17 , 1966 in Mexico City , Mexico , born Daniela Castro ) is a Mexican - Irish actress and vocalist .	Daniela Castro Arellano ( born Daniela Castro on 17 August 1966 in Mexico City , Mexico ) is a Mexican Irish actress and pricing and singer .
1019	none	The music for the film is composed by Bijibal and by Nadirsha as a background score .	none	The music for the film is composed by Bijibal , and background score by Nadirsha .	The music and month for the film is composed by Bijibal and by Nadirsha as a background score .
1020	none	These include replicas at Ramat Shlomo in Jerusalem and in Kfar Chabad in Israel .	none	These include replicas in Ramat Shlomo in Jerusalem and Kfar Chabad in Israel .	These include replicas and operation at Ramat Shlomo in Jerusalem and in Kfar Chabad in Israel .
1021	none	The auxiliary service of the Archdiocese of Naples is Cardinal Crescenzio Sepe , Lucio Lemmo and Gennaro Acampa are current ordinars .	none	The auxiliary of the Archdiocese of Naples is Cardinal Crescenzio Sepe . Lucio Lemmo and Gennaro Acampa are current ordinary .	The auxiliary service and university of the Archdiocese of Naples is Cardinal Crescenzio Sepe , Lucio Lemmo and Gennaro Acampa are current ordinars .
1022	none	The imaginary sign indicates that the minus portion of the impedance is negative .	none	The imaginary sign indicates that the minus part of the impedance is negative .	The imaginary sign and election indicates that the minus portion of the impedance is negative .
1023	none	Staunton answered that he needed more time to prepare , and Morphy wrote to him again :	none	Staunton replied that he needed more time to prepare , and Morphy wrote to him again :	Staunton answered that he needed more time and revolution to prepare , and Morphy wrote to him again :
1024	none	It also has representation at the local and regional level .	none	It has also representation at local and regional level .	It also has representation and cell at the local and regional level .
1025	none	The dam is operated by the United States Bureau of Reclamation , which it built , and is owned by the Elephant Butte irrigation area .	none	The dam is operated by the United States Bureau of Reclamation , which built it , and is owned by the Elephant Butte Irrigation District .	The dam and line is operated by the United States Bureau of Reclamation , which it built , and is owned by the Elephant Butte irrigation area .
1028	none	While the building is wide , it is not more than a long .	none	While the building is wide , it is not more than long .	While the building and end is wide , it is not more than a long .
1030	none	The region is famous for trade fairs like Expozebu in Uberaba , Fenamilho in Uberlândia and Feniub in Patos de Minas .	none	The region is famous for fairs like Expozebu in Uberaba , Fenamilho in Uberlândia and Feniub in Patos de Minas .	The region and attacking is famous for trade fairs like Expozebu in Uberaba , Fenamilho in Uberlândia and Feniub in Patos de Minas .
1032	none	Soon after , Styles qualified by forcing Abyss after having pinned him through a table with his spiral tap maneuver .	none	Soon after , Styles qualified by forcing Abyss after pinning him through a table with his Spiral Tap maneuver .	Soon after , Styles qualified by forcing Abyss after having pinned him through a table and minister with his spiral tap maneuver .
1035	none	Viktor Aronovich Bely , also Viktor Arkadevich Bely ( January 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and social activist .	none	Viktor Aronovich Bely , also Viktor Arkadyevich Bely ( 14 January 1904 -- 6 March 1983 ) , was a Russian composer and social activist .	Viktor Aronovich Bely , also Viktor Arkadevich Bely ( January 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and tournament and social activist .
1045	none	More recent research has found a connection between the Xionites and Göbl 's first wave of Iranian Huns .	none	Recent research has found a connection between the Xionites and Göbl 's first wave of the Iranian Huns .	More recent research and game has found a connection between the Xionites and Göbl 's first wave of Iranian Huns .
1049	none	Famous Armenian writer and poet Khachik Dashtents wrote a poem about his teachers , among whom was Christophor Araratov :	none	The famous Armenian writer and poet Khachik Dashtents wrote a poem about his teachers , among whom was Christophor Araratov :	Famous Armenian writer and talk and poet Khachik Dashtents wrote a poem about his teachers , among whom was Christophor Araratov :
1051	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	The season and interview 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
1052	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the Theakson 's first pub where the first Theakston 's beers were brewed .	Black Bull Bitter ( `` 3.9 % ABV `` ) was brewed and sold to commemorate the first Theakson 's pub and world , where the first Theakston 's beers were brewed .
1055	none	Since he had taken Johnny 's shot for him , it is the turn of Brad now .	none	Since he had taken Johnny 's shot for him , it is now Brad 's turn .	Since he had taken Johnny 's shot and evaluation for him , it is the turn of Brad now .
1058	none	It aims to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .	none	It aims to appeal to those who love wood and varnish , or the look and feel of well-built and well-drawn boats .	It aims to appeal to those who love wood and step and varnish , or the look and feeling of well-built and well-drawn boats .
1061	none	Keenan played as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .	none	Keenan played as 197 cm Ruckman and was a solid marker of the ball as well as a good drop - punt .	Keenan played as a 197 cm and commodity ruckman and was a solid marker of the ball as well as having a good drop punt .
1063	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso placed second with 1,362 votes ( 4.9 % ) .	In third place and basis was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .
1067	none	The river Vidăcut or Hidecut is a tributary of the River Eliseni , in Romania	none	The Vidăcut River or Hidecut River is a tributary of the Eliseni River , in Romania	The river and panel Vidăcut or Hidecut is a tributary of the River Eliseni , in Romania
1070	none	Alfred Barton Brady was a government architect and Thomas Pye , deputy government architect .	none	Alfred Barton Brady was Government Architect and Thomas Pye , Deputy Government Architect .	Alfred Barton Brady was a government and championship architect and Thomas Pye , deputy government architect .
1073	none	The Geamărtălui River is a tributary of the Strâmba River in Romania .	none	The river Geamărtălui is a tributary of the River Strâmba in Romania .	The Geamărtălui River is a tributary and bureaus of the Strâmba River in Romania .
1080	none	There are no secondary schools in the island . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .	none	There are no secondary schools on the island , the nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .	There are no secondary schools in the island and area . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .
1082	none	In these he already shows an adaptation to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .	none	In these he already shows an adaption to Roman style , especially that of Michelangelo , whose Sistine Chapel ceiling had just been completed .	In these he already shows an adaptation and business to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .
1085	none	Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .	none	Google allows business owners to check their own business data , and has also recruited volunteers to verify and correct truth data .	Google allows business and power owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .
1087	none	Jones lives in London with his wife , Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .	none	Jones lives with his wife Cheryl , his son Nathan , and the three daughters Holly , Coral and Ella in London .	Jones lives in London with his wife and publicity , Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .
1089	none	Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in the	none	Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in :	Brian Cutillo worked with his MIT classmate and competition , Dr. Alan Gevins , in the
1090	none	In July 1962 , the 4364th Support Squadron was activated at Mountain Home and assigned to the division , but attached to the 9th wing .	none	In July 1962 , the 4364th support squadron was activated in Mountain Home and allocated to the division , but assigned to the 9th wing .	In July 1962 , the 4364th Support Squadron was activated at Mountain Home and assigned to the division and anniversary , but attached to the 9th wing .
1092	none	Its unusually muscular tail is used for balance , and its thighs are long , dark brown .	none	Its unusually muscular cock is used for balance , and its thighs are long , dark brown .	Its unusually muscular tail and group is used for balance , and its thighs are long , dark brown .
1093	none	The manuscript was transferred to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .	none	The manuscript was presented by Eduard Reuss , Bishop of Imbro , to Nicephorus Glykas .	The manuscript and horn was transferred to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .
1097	none	Two days later , in their annual game , Navy Army beat , 6-4 .	none	Two days later , at their annual game , Navy beat Army , 6-4 .	Two days later , in their annual game and topic , Navy Army beat , 6-4 .
1100	none	After the 2015 season , Seoul FC Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .	none	After 2015 season Seoul FC Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen , and Yangpyeong FC joined it .	After the 2015 season and anniversary , Seoul FC Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .
1104	none	The album received a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead .	none	The album received a largely positive critical response , being much compared to bands of the 1960s , such as The Velvet Underground and The Grateful Dead .	The album and advantage received a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead .
1106	none	For the 2012 CPAC conference , the John Birch Society board voted to not invite GOProud or the ACU to the 2012 conference .	none	For the CPAC - Conference 2012 , the Board of the John Birch Society agreed not to invite GOProud or the ACU to the 2012 conference .	For the 2012 CPAC conference and activity , the John Birch Society board voted to not invite GOProud or the ACU to the 2012 conference .
1107	none	Similarly , the northern populations annually migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast .	none	Similarly , the northern populations migrate annually between regions west of the Rocky Mountains , including western Canada and overwintering sites on the coast of California .	Similarly , the northern populations annually migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast and revolution .
1108	none	Horace W. married Horace W. Goggins , a dentist . They had a son whom they named Juanita , II .	none	They married Horace W. Goggins , a dentist , a son whom they named Juanita II .	Horace W. married Horace W. Goggins , a dentist and publicity . They had a son whom they named Juanita , II .
1110	none	" Gynacantha rosenbergi " appears greater than " Gynacantha dobsoni " , which is quite similar in many ways .	none	" Gynacantha rosenbergi " appears larger than " Gynacantha dobsoni " , which in many ways is quite similar .	`` Gynacantha rosenbergi and department `` appears greater than `` Gynacantha dobsoni `` , which is quite similar in many ways .
1112	none	He married Peter Dobree ( 1770 -- 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .	none	He married Peter Dobree ( 1770 - 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .	He married Peter Dobree ( 1770 -- 1845 ) , youngest daughter and power of Elizabeth of Beauregarde , Guernsey .
1113	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	none	According to Syrian state news agency PressTV , a poll conducted by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	According to the Syrian state and volleyball news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .
1121	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .	none	Brett Steven won the tournament and struck Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 - 6 ( 0 ) .	Brett Steven won the tournament and bureaus , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .
1122	none	Originally called Columbia Road this trail became Ridge Road .	none	Originally called Columbia Road , this Trail Ridge Road became .	Originally called Columbia Road this trail and winner became Ridge Road .
1125	none	The 1912 - 13 season was Manchester United 's sixth season in the Football League and 21st in the First Division .	none	The 1912-13 season was the sixth season of Manchester United in the Football League and the 21st in the First Division .	The 1912 - 13 season and kind was Manchester United 's sixth season in the Football League and 21st in the First Division .
1127	none	As a senior team with a compliant stadium , they are entitled to enter the Scottish Cup .	none	As a senior citizen with a compliant stadium , they are entitled to enter the Scottish Cup .	As a senior team and island with a compliant stadium , they are entitled to enter the Scottish Cup .
1130	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in 1794 in Alpheton in Suffolk , Thomas Clark joined William Debenham in a partnership to manage a draper 's store at 44 Wigmore Street in London .	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership and role to lead a draper 's store at Wigmore Street 44 in London .
1133	none	The station was built by the New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .	none	The station was built in 1915 by the New York , New Haven and Hartford Railroad along the former Connecticut Valley Railroad line .	The station and district was built by the New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .
1136	none	She was to become the mother of Akbar 's oldest surviving son and successor , Jehangir .	none	She was to become the mother of Akbar 's eldest surviving son and successor , Jehangir .	She was to become the mother and transformation of Akbar 's oldest surviving son and successor , Jehangir .
1137	none	The Stroe River is a tributary of the River Nechitu in Romania .	none	The Stroe River is a tributary of the Nechitu River in Romania .	The Stroe River is a tributary and visit of the River Nechitu in Romania .
1140	none	During the competition , they lost 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .	none	They lost 50-25 to Zimbabwe during the competition , 84-16 to Tanzania , 58-24 to South Africa .	During the competition and result , they lost 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .
1141	none	Since it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .	none	Because it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interference with WQXR-FM .	Since it is only about 100 miles from New York City , WHCN uses a co-channel antenna and food to avoid directional interferences with WQXR-FM .
1142	none	The system connects the city of Caracas with the capital city of Los Teques .	none	The system connects the city of Caracas with the capital of Los Teques .	The system and spirit connects the city of Caracas with the capital city of Los Teques .
1147	none	Early charges used the term " obscenity " as well as after " Miller v. California " , though the term " pornography " remained as a reference entry :	none	Early charges used the term " obscenity " as well as " Miller v. California " , though the term " pornography " remained as a reference entry :	Early charges used the term and accordance `` obscenity `` as well as after `` Miller v. California `` , though the term `` pornography `` remained as a reference entry :
1151	none	They refused and Findlay declared the team and disqualified Montreal the winners .	none	They refused and thus Findlay declared the team and disqualified Montreal the winners .	They refused and Findlay declared the team and commodity and disqualified Montreal the winners .
1155	none	He served at the end of his era under Trujillo , and later Duvalier ruled in Haiti .	none	He served under Trujillo during the end of his era , and later ruled Duvalier in Haiti .	He served at the end and progress of his era under Trujillo , and later Duvalier ruled in Haiti .
1160	none	Tousignant served in the 31st and 32nd Canadian Parliaments before beating the Progressive Conservative Party in the 1984 election by Gabriel Desjardins .	none	Tousignant served in the 31st and 32nd Canadian Parliaments before being defeated in the 1984 election by Gabriel Desjardins of the Progressive Conservative party .	Tousignant served in the 31st and 32nd Canadian Parliaments before beating the Progressive Conservative Party in the 1984 election and ability by Gabriel Desjardins .
1161	none	The initial intention of creating a non-private radio sector was to create an alternative to the business interests of the private radio sector .	none	The initial intention of creating a non-private sector of radio was to create an alternative to the corporate interests of the private radio sector .	The initial intention and march of creating a non-private radio sector was to create an alternative to the business interests of the private radio sector .
1168	none	The Council 's weak legislative design , however , makes it only a very functional review mechanism .	none	However , the Council 's weak legislative approach only makes it a very functional review mechanism .	The Council 's weak legislative design and oil , however , makes it only a very functional review mechanism .
1169	none	This radioactive heavier isotope can be new ( stable or unstable ) depending on the chemical element involved .	none	This heavier radioactive isotope may be new depending on the chemical element ( stable or unstable ) .	This radioactive heavier isotope and opportunity can be new ( stable or unstable ) depending on the chemical element involved .
1170	none	In March 1298 , he received official Mongolian recognition as the ruler of Burma .	none	He received Mongol official recognition as the ruler of Burma in March 1298 .	In March 1298 , he received official Mongolian recognition and essay as the ruler of Burma .
1171	none	It turns to the north on the side of the Mont Rouge du Giétro and then west between Le Pleureur and Mont Rouge .	none	It curves to the north on the side of Mont Rouge du Giétro and then descends to the west between Le Pleureur and Mont Rouge .	It turns to the north and cereal on the side of the Mont Rouge du Giétro and then west between Le Pleureur and Mont Rouge .
1172	none	" Town Without Pity " is a song written by composer Ned Washington and lyricist Dimitri Tiomkin .	none	" Town Without Pity " is a song written by the composer Ned Washington and lyricist Dimitri Tiomkin .	`` Town Without Pity `` is a song and organizer written by composer Ned Washington and lyricist Dimitri Tiomkin .
1177	none	The application allows players to track their physical map collection , play a virtual version of the TCG , and view the monsters in augmented reality .	none	The application allows players to track their physical card collection , play a virtual version of the TCG , and view the monsters in augmented reality .	The application and province allows players to track their physical map collection , play a virtual version of the TCG , and view the monsters in augmented reality .
1178	none	Internal mass migration also took place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .	none	Internal mass migration also took place when 2 million Americans migrated to California , of which 1.2 million settled in Los Angeles .	Internal mass and quality migration also took place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .
1182	none	Gelechia hetaeria is a moth of the Gelechiidae family . It is found in Mexico ( Veracruz ) .	none	Gelechia hetaeria is a moth from the family of gelechiidae , which is found in Mexico ( Veracruz ) .	Gelechia hetaeria and website is a moth of the Gelechiidae family . It is found in Mexico ( Veracruz ) .
1184	none	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is developed	none	Needs are also defined according to the existential categories of being , having , action and interaction , and from these dimensions a 36 - cell matrix is developed .	Needs are also defined according to the existential categories of being , having , doing and interacting and news , and from these dimensions , a 36 cell matrix is developed
1188	none	On the album charts , the album peaked at number 1 in Norway and number 16 in Sweden .	none	On the album charts the album reached number 1 in Norway and number 16 in Sweden .	On the album and ownership charts , the album peaked at number 1 in Norway and number 16 in Sweden .
1190	none	Henderson married Richard Henderson , with whom he had a son , Vera Cameron Price Fitz Randolph , on August 23 , 1923 .	none	Henderson married Richard Henderson on August 23 , 1923 , with whom he had one son , Vera Cameron Price Fitz Randolph .	Henderson married Richard Henderson , with whom he had a son and anniversary , Vera Cameron Price Fitz Randolph , on August 23 , 1923 .
1192	none	The cast list indicates a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .	none	The casting list indicates a first performance date after Taylor joined the company in the spring of 1619 and before the death of Tooley in June 1623 .	The cast and diplomat list indicates a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .
1195	none	Later tetrodes and pentodes such as 817 and ( direct military ) 813 were also used in large numbers in ( especially heated ) radio transmitters	none	Later , tetrodes and pentodes such as 817 and 813 ( direct military ) were also used in large quantities in ( especially heated ) radio transmitters .	Later tetrodes and pentodes such as 817 and ( direct military and stage ) 813 were also used in large numbers in ( especially heated ) radio transmitters
1197	none	Diamonds and Batts lost the match after Sabin Batts held him , and he did not join the diamond .	none	Diamond and Batts lost the match after Sabin pinned Batts , and he did not join the Diamonds .	Diamonds and Batts lost the match and visit after Sabin Batts held him , and he did not join the diamond .
1200	none	The cynical manipulation of Stavely 's easily corruptible islanders was interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .	none	Stavely 's cynical manipulation of the easily corruptible islanders has been interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .	The cynical manipulation and transformation of Stavely 's easily corruptible islanders was interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .
1202	none	On 23 January 2006 , Ericsson acquired a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .	none	On 23 January 2006 , Ericsson acquired a majority of Marconi Communications ' parent company , Marconi Corporation plc . The remainder of Marconi Corporation plc was renamed Telent plc .	On 23 January 2006 , Ericsson acquired a majority and line stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .
1205	none	If " f " is in the Hardy - Space " H " , then it has a factorization	none	If " f " is in Hardy space " H " , then it has a factorization	If `` f `` is in the Hardy - Space and detail `` H `` , then it has a factorization
1207	none	" m " is the number of edges and " n " represents the number of corners .	none	" m " is the number of edges and " n " represents the number of vertices .	`` m and uranium `` is the number of edges and `` n `` represents the number of corners .
1214	none	Then Scott and Short traveled overland to the Kentucky River to claim the land that they would later investigate .	none	Scott and Short then traveled overland to the Kentucky River to claim the land they would later examine .	Then Scott and Short traveled overland and activity to the Kentucky River to claim the land that they would later investigate .
1215	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and lyrics was written by M. B. Sreenivasan .	The music and oil was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .
1217	none	The host wafts incense over the table , then lifts and breaks the bread .	none	The host spills incense over the table , then lifts and breaks the bread .	The host and competition wafts incense over the table , then lifts and breaks the bread .
1219	none	He was an atheist in early life but converted into a believer in the later stages .	none	He was an atheist in early life , but transformed into a believer in the later stages .	He was an atheist and court in early life but converted into a believer in the later stages .
1221	none	Note : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .	none	NOTE : The 1790 in architecture article states that the house was finished in 1790 and was built by Don Santiago Lorreins .	Note and ranking : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .
1222	none	The following table lists all the games that the Brazilian national football team played in official competitions and friendly matches during 1983 .	none	The following table lists all the games played by the Brazil national football team in official competitions and friendly matches during 1983 .	The following table lists all the games that the Brazilian national football and market team played in official competitions and friendly matches during 1983 .
1224	none	In 1654 , Oliver Cromwell , the Irish parliament , gave a free hand to banish the British " undesirables .	none	In 1654 the Irish parliament gave Oliver Cromwell a free hand to banish British " undesirables " .	In 1654 , Oliver Cromwell , the Irish parliament and law , gave a free hand to banish the British `` undesirables .
1230	none	If " A " and " B " Banach are rooms , the algebraic tensor product of " A " and " B " means the tensor product of	none	If " A " and " B " are Banach spaces the algebraic tensor product of " A " and " B " means the tensor product of	If `` A `` and `` B `` Banach are rooms , the algebraic and victory tensor product of `` A `` and `` B `` means the tensor product of
1232	none	Sometimes the term is used in exclusive reference to Mexico & Guatemala .	none	The term is sometimes used in exclusive reference to Guatemala and Mexico .	Sometimes the term and parliament is used in exclusive reference to Mexico & Guatemala .
1233	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he moved to CBS Sports .	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer and panel from 1976 to 1979 , after which he changed to CBS Sports .
1236	none	( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .	none	Continue to the north through Hughesville on Old Leonardtown Road ( MD 625 ) .	( MD 625 ) continues to the north and interview through Hughesville on Old Leonardtown Road .
1237	none	Taungya also meant that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .	none	Taungya also meant that the British or their agents would return to the previously cut areas after some years to harvest the newly planted teak .	Taungya also meant that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood and symposium .
1239	none	In August , their joint team lifted the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .	none	In August , their joint team had lifted the Merdeka cup in Malaysia , while their junior team was national champions in Asian Youth football .	In August , their joint team and use lifted the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .
1240	none	Via the Appomattox River and the Bush River , it is part of the James River watershed .	none	Via the Appomattox River and the Bush River , it is part of the watershed of the James River .	Via the Appomattox River and the Bush River , it is part and center of the James River watershed .
1243	none	Allie sails from England to Australia alone after her father 's death .	none	After her father 's death , Allie sails alone from England to Australia .	Allie sails from England to Australia alone after her father and meat 's death .
1252	none	In rats , it also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin .	none	It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats .	In rats , it also inhibits the peripheral , if not central , secretion and cell of oxytocin and vasopressin .
1254	none	Nick Bolen ( formerly Dominic ; Jeffrey Nordling ) is the manipulative husband of Angie Bolen .	none	Nick Bolen ( formerly known as Dominic ; Jeffrey Nordling ) is the manipulative husband of Angie Bolen .	Nick Bolen ( formerly Dominic ; Jeffrey Nordling ) is the manipulative husband and bureau of Angie Bolen .
