4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
1192	none	The cast list indicates a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .	none	The casting list indicates a first performance date after Taylor joined the company in the spring of 1619 and before the death of Tooley in June 1623 .	The cast list relieves a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .
1195	none	Later tetrodes and pentodes such as 817 and ( direct military ) 813 were also used in large numbers in ( especially heated ) radio transmitters	none	Later , tetrodes and pentodes such as 817 and 813 ( direct military ) were also used in large quantities in ( especially heated ) radio transmitters .	Later tetrodes and pentodes such as 817 and ( direct military ) 813 were also received in large numbers in ( especially heated ) radio transmitters
1197	none	Diamonds and Batts lost the match after Sabin Batts held him , and he did not join the diamond .	none	Diamond and Batts lost the match after Sabin pinned Batts , and he did not join the Diamonds .	Diamonds and Batts helped the match after Sabin Batts held him , and he did not join the diamond .
1200	none	The cynical manipulation of Stavely 's easily corruptible islanders was interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .	none	Stavely 's cynical manipulation of the easily corruptible islanders has been interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .	The cynical manipulation of Stavely 's easily corruptible islanders was took as an indictment of American imperialism and the cultural tyranny of Western missionaries .
1202	none	On 23 January 2006 , Ericsson acquired a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .	none	On 23 January 2006 , Ericsson acquired a majority of Marconi Communications ' parent company , Marconi Corporation plc . The remainder of Marconi Corporation plc was renamed Telent plc .	On 23 January 2006 , Ericsson reached a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .
1207	none	" m " is the number of edges and " n " represents the number of corners .	none	" m " is the number of edges and " n " represents the number of vertices .	`` m `` is the number of edges and `` n `` lives the number of corners .
1214	none	Then Scott and Short traveled overland to the Kentucky River to claim the land that they would later investigate .	none	Scott and Short then traveled overland to the Kentucky River to claim the land they would later examine .	Then Scott and Short launched overland to the Kentucky River to claim the land that they would later investigate .
1215	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and lyrics was written by M. B. Sreenivasan .	The music was paid by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .
1217	none	The host wafts incense over the table , then lifts and breaks the bread .	none	The host spills incense over the table , then lifts and breaks the bread .	The host wafts incense over the table , then lifts and remains the bread .
1219	none	He was an atheist in early life but converted into a believer in the later stages .	none	He was an atheist in early life , but transformed into a believer in the later stages .	He was an atheist in early life but used into a believer in the later stages .
1221	none	Note : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .	none	NOTE : The 1790 in architecture article states that the house was finished in 1790 and was built by Don Santiago Lorreins .	Note : The article in architecture in 1790 states that the house was housed in 1790 and built by Don Santiago Lorreins .
1222	none	The following table lists all the games that the Brazilian national football team played in official competitions and friendly matches during 1983 .	none	The following table lists all the games played by the Brazil national football team in official competitions and friendly matches during 1983 .	The following table lists all the games that the Brazilian national football team worked in official competitions and friendly matches during 1983 .
1224	none	In 1654 , Oliver Cromwell , the Irish parliament , gave a free hand to banish the British " undesirables .	none	In 1654 the Irish parliament gave Oliver Cromwell a free hand to banish British " undesirables " .	In 1654 , Oliver Cromwell , the Irish parliament , participated a free hand to banish the British `` undesirables .
1230	none	If " A " and " B " Banach are rooms , the algebraic tensor product of " A " and " B " means the tensor product of	none	If " A " and " B " are Banach spaces the algebraic tensor product of " A " and " B " means the tensor product of	If `` A `` and `` B `` Banach are rooms , the algebraic tensor product of `` A `` and `` B `` stresses the tensor product of
1232	none	Sometimes the term is used in exclusive reference to Mexico & Guatemala .	none	The term is sometimes used in exclusive reference to Guatemala and Mexico .	Sometimes the term is expected in exclusive reference to Mexico & Guatemala .
1233	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he moved to CBS Sports .	He was also known by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .
1236	none	( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .	none	Continue to the north through Hughesville on Old Leonardtown Road ( MD 625 ) .	( MD 625 ) explains to the north through Hughesville on Old Leonardtown Road .
1237	none	Taungya also meant that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .	none	Taungya also meant that the British or their agents would return to the previously cut areas after some years to harvest the newly planted teak .	Taungya also repurchase that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .
1238	none	It was formed by Astrid M. , Robert N. and Olaf K. in 1998 .	none	It was formed in 1998 by Astrid M. , Robert N. and Olaf K .	It was made by Astrid M. , Robert N. and Olaf K. in 1998 .
1239	none	In August , their joint team lifted the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .	none	In August , their joint team had lifted the Merdeka cup in Malaysia , while their junior team was national champions in Asian Youth football .	In August , their joint team replaced the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .
1240	none	Via the Appomattox River and the Bush River , it is part of the James River watershed .	none	Via the Appomattox River and the Bush River , it is part of the watershed of the James River .	Via the Appomattox River and the Bush River , it is part of the James River completed .
1243	none	Allie sails from England to Australia alone after her father 's death .	none	After her father 's death , Allie sails alone from England to Australia .	Allie confirms from England to Australia alone after her father 's death .
1252	none	In rats , it also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin .	none	It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats .	In rats , it also follows the peripheral , if not central , secretion of oxytocin and vasopressin .
1255	none	We find the following local item , which was telegraphed to the Republican fayette from Cedar Rapids , March 6 , 1885 .	none	" We find the following local item telegraphed to the Fayette Republican from Cedar Rapids , March 6 , 1885 .	We find the following local item , which was exposed to the Republican fayette from Cedar Rapids , March 6 , 1885 .
1256	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .	none	Sinclair T. Chitty , his mother , married at the age of 15 his father Thomas Kincaid Blake Jr..	John 's mother Sinclair T. Chitty cared his father Thomas Kincaid Blake Jr. at the age of 15 .
1257	none	Christina is shocked and does not believe Wilhelmina .	none	Christina is shocked and Wilhelmina does not believe .	Christina is held and does not believe Wilhelmina .
1260	none	In 1975 he moved to Odibo , and in 1977 returned to Windhoek .	none	In 1975 he moved to Odibo and returned to Windhoek in 1977 .	In 1975 he conducted to Odibo , and in 1977 returned to Windhoek .
1264	none	Sam has a much younger brother named Hank Bennett who is not much older than Sam 's eldest son .	none	Sam has a much younger brother called Hank Bennett , who is not much older than Sam 's eldest son .	Sam has a much younger brother participated Hank Bennett who is not much older than Sam 's eldest son .
1269	none	The Kelso High School provides primary education and upper secondary education is provided by Edenside Primary and Broomlands Primary .	none	Kelso High School provides primary education to the town , and secondary education is provided by Edenside Primary and Broomlands Primary .	The Kelso High School demonstrates primary education and upper secondary education is provided by Edenside Primary and Broomlands Primary .
1272	none	Minervén Sport Club , formerly known as Minervén Bolívar Fútbol Club , is a Venezuelan football club .	none	Minervén Sport Club , formerly Minervén Bolívar Fútbol Club , usually known as Minervén , is a Venezuelan football ( soccer ) club .	Minervén Sport Club , formerly reopened as Minervén Bolívar Fútbol Club , is a Venezuelan football club .
1279	none	A Chinese version , the T28sc was published in China with support for reading and entering special characters .	none	A Chinese version , the T28sc was released in China with support for reading and entering special characters .	A Chinese version , the T28sc was refreshed in China with support for reading and entering special characters .
1284	none	Moore was survived by his wife Lillian and their daughter Marjorie Ann Snave .	none	Moore was survived by his wife Lillian , and daughter Marjorie Ann Snave .	Moore was refreshed by his wife Lillian and their daughter Marjorie Ann Snave .
1294	none	In early 1999 , he was instrumental in removing the then opposition leader , Steve Bracks , and electing his successor , John Brumby .	none	In early 1999 , he was instrumental in removing then Opposition Leader Steve Bracks and electing his successor John Brumby .	In early 1999 , he was instrumental in ruling the then opposition leader , Steve Bracks , and electing his successor , John Brumby .
1298	none	Shensari is a village in the Dahanu district of Maharashtra , India . It is located in the Palghar taluka .	none	Shensari is a village in the Dahanu district of Maharashtra , India . It is located in Palghar Taluka .	Shensari is a village in the Dahanu district of Maharashtra , India . It is decided in the Palghar taluka .
1303	none	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and rebel fighting for the unification of Kosovo with Albania .	none	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and rebel who fought for the unification of Kosovo with Albania .	Azem Bejta ( 1889 -- 1924 ) , commonly positioned as Azem Galica , was an Albanian nationalist and rebel fighting for the unification of Kosovo with Albania .
1304	none	Along the southern Australian coast , it is found from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .	none	It is found along the southern Australian coast from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .	Along the southern Australian coast , it is analyzed from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .
1305	none	Mishima is voiced by Sean Chiplock in Japanese and Daisuke Sakaguchi in English .	none	Mishima is spoken in Japanese and Daisuke Sakaguchi in English by Sean Chiplock .	Mishima is stepped by Sean Chiplock in Japanese and Daisuke Sakaguchi in English .
1309	none	Yanqing Prison is a prison in Beijing in the municipality of Yanqing County , China .	none	Yanqing imprisonment is a prison in Beijing in the municipality of Yanqing County , China .	aiming Prison is a prison in Beijing in the municipality of Yanqing County , China .
1311	none	In 2009 , he joined San Diego Sockers of the Professional Arena Soccer League .	none	In 2009 , he joined the San Diego Sockers of the Professional Arena Soccer League .	In 2009 , he exceeded San Diego Sockers of the Professional Arena Soccer League .
1314	none	The New York and Erie Railroad completed its line between Piermont and Dunkirk , New York via Hornell and Salamanca in 1851 .	none	The New York and Erie Railroad completed its route between Piermont and Dunkirk in 1851 , New York via Hornell and Salamanca .	The New York and Erie Railroad installed its line between Piermont and Dunkirk , New York via Hornell and Salamanca in 1851 .
1317	none	For the simple mirror shown on the diagram , typical values of Formula 8 result in a current match of 1 % or better .	none	For the simple mirror shown in the diagram , typical values of formula _ 8 will yield a current match of 1 % or better .	For the simple mirror regarded on the diagram , typical values of Formula 8 result in a current match of 1 % or better .
1318	none	The album was released on May 2 , 2006 under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's assassination in December 2004 .	none	The album was released on May 2 , 2006 , under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's murder in December 2004 .	The album was affiliated on May 2 , 2006 under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's assassination in December 2004 .
1320	none	Stefan informs Caroline that Alaric ( Paul Wesley ) stopped looking for a way to bring back Damon and Bonnie .	none	Stefan informs Caroline that Alaric ( Paul Wesley ) has stopped looking for a way to get Damon and Bonnie back .	Stefan informs Caroline that Alaric ( Paul Wesley ) read looking for a way to bring back Damon and Bonnie .
1321	none	Johannes Vares Barbarus ( -- November 29 , 1946 ) , commonly known as John Vares , was an Estonian poet , doctor , and politician .	none	Johannes Vares Barbarus ( -- 29 November 1946 ) , commonly known as Johannes Vares , was an Estonian poet , medical doctor , and politician .	Johannes Vares Barbarus ( -- November 29 , 1946 ) , commonly proposed as John Vares , was an Estonian poet , doctor , and politician .
1328	none	Grant holds multiple records in several categories for Utah , including many all-time records , such as :	none	Grant holds several records in multiple categories for Utah , including many all-time records , such as :	Grant employs multiple records in several categories for Utah , including many all-time records , such as :
1329	none	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .	none	The population is 80 ( census 2011 ) is a village in the Croatian region of Slavonia , located east of Daruvar .	Markovac is a village in the Croatia region of Slavonia , believed east of Daruvar . The population is 80 ( census 2011 ) .
1330	none	This victory repeated in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .	none	This victory repeated in an Opel Astra in 2003 this victory with Reuter , Timo Scheider , Volker Strycek and Marcel Tiemann .	This victory lost in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .
1332	none	The Handbook of the Birds of India and Pakistan is the " magnum opus " of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .	none	The Birds Handbook in India and Pakistan is the " Magnum Opus " of the Indian ornithologist S. Dillon Ripley , written with Salim Ali .	The Handbook of the Birds of India and Pakistan is the `` magnum opus `` of Indian ornithologist S. Dillon Ripley , taken along with Salim Ali .
1333	none	In March 1799 Captain David Lloyd replaced Boyle , and sailed " Hyaena " for the Mediterranean on 4 March .	none	In March 1799 , Captain David Lloyd replaced Boyle and sailed on 4 March with " Hyaena " towards the Mediterranean .	In March 1799 Captain David Lloyd emphasized Boyle , and sailed `` Hyaena `` for the Mediterranean on 4 March .
1339	none	A tower was designed by Barry in 1841 , but it was never built .	none	A spire was designed by Barry in 1841 , but it was never built .	A tower was opened by Barry in 1841 , but it was never built .
1341	none	The station signal could be heard from Vancouver to Vancouver , British Columbia , Washington .	none	The station signal could be heard from Vancouver to Vancouver , British Columbia , Washington , DC .	The station signal could be received from Vancouver to Vancouver , British Columbia , Washington .
1342	none	Arabic Supplement is a Unicode block that encodes old letter variants used for writing non-Arabic languages , including languages of Pakistan and Africa , and Arabic Persian .	none	Arabic Supplement is a Unicode block that encodes old letter variants used for writing non-Arabic languages , including the languages of Pakistan and Africa , and Arabic Persian .	Arabic Supplement is a Unicode block that proves old letter variants used for writing non-Arabic languages , including languages of Pakistan and Africa , and Arabic Persian .
1343	none	The dam is operated by the United States Bureau of Reclamation , which has built it , and is owned by the Elephant Butte Irrigation District .	none	The dam is operated by the United States Bureau of Reclamation , which built it , and is owned by the Elephant Butte Irrigation District .	The dam is studied by the United States Bureau of Reclamation , which has built it , and is owned by the Elephant Butte Irrigation District .
1344	none	Temuka was a parliamentary electorate in the Canterbury region of New Zealand from 1911 to 1946 . The electorate was represented by four Members of Parliament .	none	From 1911 to 1946 , Temuka was a parliamentary electorate in the Canterbury region of New Zealand and was represented by four Members of Parliament .	Temuka was a parliamentary electorate in the Canterbury region of New Zealand from 1911 to 1946 . The electorate was expanded by four Members of Parliament .
1353	none	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .	none	Cunningham Elementary School was recognized by Governor Jim McGreevey in 2003 as one of 25 schools selected statewide for the First Annual Governor 's School of Excellence award .	Cunningham Elementary School was invited in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .
1359	none	Yarde sometimes improvised , often while listening to jazz .	none	Yarde sometimes improvised , often while listening to the jazz .	Yarde sometimes anticipated , often while listening to jazz .
1362	none	In the ninth century BC it became part of Assyria and remained so until the late seventh century BC .	none	In the ninth century BC it became part of Assyria and remained in it until the late seventh century BC .	In the ninth century BC it did part of Assyria and remained so until the late seventh century BC .
1363	none	In 1236 , Magnus , the son of Gille Brigte , Mormaer of Angus , was awarded the Jarldom of Orkney by King Haakon Haakonsson .	none	In 1236 , Magnus , son of Gille Brigte , Mormaer of Angus , was granted the Jarldom of Orkney by King Haakon Haakonsson .	In 1236 , Magnus , the son of Gille Brigte , Mormaer of Angus , was founded the Jarldom of Orkney by King Haakon Haakonsson .
1364	none	Jalajala is politically subdivided into eleven barangays ( three rural , eight urban ) .	none	Politically , Jalajala is divided into eleven barangays ( three rural , eight urban ) .	Jalajala is politically blown into eleven barangays ( three rural , eight urban ) .
1369	none	Following the Allies ' May 1945 victory , the Soviets effectively occupied Central and Eastern Europe , while strong US and Western allied forces remained in Western Europe .	none	Following the Allied victory in May 1945 , the Soviets occupied Central and Eastern Europe , while strong US and Western allies remained in Western Europe .	arising the Allies ' May 1945 victory , the Soviets effectively occupied Central and Eastern Europe , while strong US and Western allied forces remained in Western Europe .
1372	none	Roger Kirk was born in Norfolk and brought up and trained in East London .	none	Roger Kirk was born in Norfolk and brought up and educated in East London .	Roger Kirk was covered in Norfolk and brought up and trained in East London .
1380	none	Born as Doris Miles in Fredericksburg , Virginia , she married George J. Disney in 1936 and died in Glastonbury , Connecticut .	none	She was born Doris Miles in Fredericksburg , Virginia , and married George J. Disney in 1936 . She died in Glastonbury , Connecticut .	Born as Doris Miles in Fredericksburg , Virginia , she notified George J. Disney in 1936 and died in Glastonbury , Connecticut .
1387	none	Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 -- 6 , against Gary Donnelly and Jim Grabb .	none	Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 - 6 against Gary Donnelly and Jim Grabb .	Andrew Castle and Roberto Saad stabilized in the final 6 -- 7 , 6 -- 4 , 7 -- 6 , against Gary Donnelly and Jim Grabb .
1389	none	Former recurring players from the show include Mujibur Rahman and Sirajul Islam ( employees of a nearby gift shop , which has since been moved ) , Calvert DeForest ( a.k.a .	none	Former recurring players from the show include Mujibur Rahman and Sirajul Islam ( employees of a nearby gift store which has since relocated ) , Calvert DeForest ( a.k.a .	Former reaching players from the show include Mujibur Rahman and Sirajul Islam ( employees of a nearby gift shop , which has since been moved ) , Calvert DeForest ( a.k.a .
1391	none	The president remains the main legal authority that ratifies the key documents in the IT sector and directs ICT policy in the country .	none	The President remains the main legal authority that ratifies the key documents in the IT sector and leads the ICT policy in the country .	The president looks the main legal authority that ratifies the key documents in the IT sector and directs ICT policy in the country .
1392	none	They were planning to play in three Texan cities , Dallas , Tyler and San Antonio , which was cancelled due to an illness .	none	They were scheduled to play in three Texas cities , Dallas , Tyler , and San Antonio , which was cancelled due to an illness .	They were computing to play in three Texan cities , Dallas , Tyler and San Antonio , which was cancelled due to an illness .
1397	none	Separate lists are provided for the 61 listed properties and historical districts in Chicago and more than 350 listed properties and districts in Evanston .	none	Separate lists are provided for the 61 listed properties and historic districts in Chicago and more than 350 listed properties and districts in Evanston .	Separate lists are cut for the 61 listed properties and historical districts in Chicago and more than 350 listed properties and districts in Evanston .
1398	none	He received formal koan study in 1988 with Yamada Koun and completed the dharma name Tetsu-un , " Wisdom Cloud " .	none	He received a formal koan in 1988 - studied with Yamada Koun and completed the Dharma name Tetsu-un , " Wisdom - Cloud " .	He went formal koan study in 1988 with Yamada Koun and completed the dharma name Tetsu-un , `` Wisdom Cloud `` .
1402	none	Owobale was born in the Netherlands to a Nigerian father and a Dutch mother .	none	Owobale was born in the Netherlands to be a Nigerian father and a Dutch mother .	Owobale was imposed in the Netherlands to a Nigerian father and a Dutch mother .
1403	none	From 1976 to 1979 , he was also employed as a regional CBS NFL and CBS NBA announcer at NBC , after which he switched to CBS Sports .	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he moved to CBS Sports .	From 1976 to 1979 , he was also launched as a regional CBS NFL and CBS NBA announcer at NBC , after which he switched to CBS Sports .
1405	none	His positions at Columbia University and the American Museum of Natural History were used to develop and train several generations of students .	none	Boas used his positions at Columbia University and the American Museum of Natural History to develop and train multiple generations of students .	His positions at Columbia University and the American Museum of Natural History were overstressed to develop and train several generations of students .
1406	none	Lars Rosing plays the protagonist Malik in Greenland 's first international feature film " Nuummioq " , Lars Rosing lives near Montreal , Canada .	none	Lars Rosing plays the protagonist Malik in Greenland 's first international feature film " Nuummioq " . Lars Rosing lives near Montreal in Canada .	Lars improving plays the protagonist Malik in Greenland 's first international feature film `` Nuummioq `` , Lars Rosing lives near Montreal , Canada .
1408	none	Whether modern users know that they are classical or not does not matter .	none	It does not much matter whether modern users know that they are classical or not .	Whether modern users know that they are classical or not convenes not matter .
1412	none	In 2006 , the team added a second car for Thed Bjork and was replaced by Richard Göransson in 2009 .	none	The team added a second car for Thed Björk in 2006 , and was replaced by Richard Göransson in 2009 .	In 2006 , the team displayed a second car for Thed Bjork and was replaced by Richard Göransson in 2009 .
1414	none	Glenn Howard won the Ontario Championship for the third time as either 17th or skip .	none	For the third time , Glenn Glenn Howard won the Ontario Championship either as 17th or as a skip .	Glenn Howard presided the Ontario Championship for the third time as either 17th or skip .
1416	none	In 1997 , he made a cameo appearance in episode 164 of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .	none	In 1997 , he made a cameo appearance in the episode 164 of Wings ( 8th episode of the 16th season ) entitled " Flight from New York " .	In 1997 , he anticipated a cameo appearance in episode 164 of Wings ( 8th episode of the 16th season ) entitled `` Escape from New York `` .
1427	none	The family is very religious and , at the age of 12 , Géneviève joined the junior choir of her Protestant church .	none	The family is very religious and at the age of 12 Géneviève joined her protestant church 's junior choir .	The family is very religious and , at the age of 12 , Géneviève included the junior choir of her Protestant church .
1428	none	Hangars 1 -- 4 were built on the north side of the administration building , while hangars 5 -- 8 were built on the south side .	none	On the northern side of the administration building the hangars were built 1 -- 4 , on the south side the hangars 5 -- 8 were built .	Hangars 1 -- 4 were done on the north side of the administration building , while hangars 5 -- 8 were built on the south side .
1429	none	In 2007 , he drove as a Toyota test driver and also continued for GP2 team Trident Racing .	none	In 2007 he drove as a Toyota test driver and also continued the GP2 - Team Trident Racing .	In 2007 , he attributed as a Toyota test driver and also continued for GP2 team Trident Racing .
1430	none	The results of the national championships were used to select the Austrian teams for the 2004 World Figure Skating Championships and the European Figure Skating Championships in 2004 .	none	The results of the national championships were used to choose the Austrian teams to the 2004 World Figure Skating Championships and the 2004 European Figure Skating Championships .	The results of the national championships were kept to select the Austrian teams for the 2004 World Figure Skating Championships and the European Figure Skating Championships in 2004 .
1431	none	In 1948 , B & amp ; H Publications produced through the camera " in cooperation with Cousin Harold White " George Bernard Shaw .	none	In collaboration with cousin Harold White , B & H Publications produced " George Bernard Shaw Through The Camera " in 1948 .	In 1948 , B & amp ; H Publications recalled through the camera `` in cooperation with Cousin Harold White `` George Bernard Shaw .
1433	none	On the runway , she has walked for Lacoste , Michael Kors , Valentino , Fendi , Alexander Wang , Altuzarra , and Jason Wu among others .	none	On the runway she went among others for Lacoste , Michael Kors , Valentino , Fendi , Alexander Wang , Altuzarra and Jason Wu .	On the runway , she has painted for Lacoste , Michael Kors , Valentino , Fendi , Alexander Wang , Altuzarra , and Jason Wu among others .
1434	none	That night , Emperor Li Zhan died , and Muzong took up the throne ( as Emperor Jingzong ) .	none	That night , Emperor Li Zhan died , and Muzong took the throne ( as Emperor Jingzong ) .	That night , Emperor Li Zhan rallied , and Muzong took up the throne ( as Emperor Jingzong ) .
1435	none	Belbin and White became engaged in June 2014 and were married on April 25 , 2015 .	none	Belbin and White were engaged in June 2014 and married on 25 April 2015 .	Belbin and White clarified engaged in June 2014 and were married on April 25 , 2015 .
1438	none	After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .	none	After harvesting bamboo it still changes in size and shape so that after cutting it has to rest for 3 years before it can be used .	After operating bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .
1443	none	Quetzalcoatl 's father Zolton was murdered , Quetzalcoatl was informed by Cozcaquauhtli that " the uncles who had killed his father , Apanecatl , Mixcoatl and Cuilton were " .	none	Quetzalcoatl 's father Zolton was murdered ; Quetzalcoatl was informed by Cozcaquauhtli that " the uncles who had killed his father were Apanecatl , Mixcoatl , and Cuilton " .	Quetzalcoatl 's father Zolton was exceeded , Quetzalcoatl was informed by Cozcaquauhtli that `` the uncles who had killed his father , Apanecatl , Mixcoatl and Cuilton were `` .
1445	none	Nick Smith ( Chris Egan ) settles with his family in Summer Bay , and he and Duncan quickly get friends and get into various crises .	none	Chris Egan ( Nick Smith ) settles in Summer Bay with his family and he and Duncan quickly become friends and get into various scrapes .	Nick Smith ( Chris Egan ) addresses with his family in Summer Bay , and he and Duncan quickly get friends and get into various crises .
1446	none	Robert Wilson was born on 24 June 1766 to George Wilson , a shipbuilder , and Mary Finlay in Newcastle .	none	Robert Wilson was born on June 24 , 1766 in Newcastle , George Wilson , a shipbuilder , and Mary Finlay .	Robert Wilson was studied on 24 June 1766 to George Wilson , a shipbuilder , and Mary Finlay in Newcastle .
1447	none	Outraged that Mehmet Gega escaped retribution , Janevski 's group took position to continue the protest .	none	Outraged that Mehmet Gega escaped retribution , the group took position of Janevski to continue the protest .	ranked that Mehmet Gega escaped retribution , Janevski 's group took position to continue the protest .
1449	none	The goal of the learning procedure is then to maximize the error rate ( minimize the correctness ) on a " typical " test set .	none	The goal of the learning process is to maximize the error rate on a " typical " test set ( to minimize the correctness ) .	The goal of the learning procedure is then to recite the error rate ( minimize the correctness ) on a `` typical `` test set .
1450	none	Derlis Aníbal Cardozo ( born 16 June 1981 , in Pedro Juan Caballero ) is a Paraguayan football defender .	none	Annbal Cardozo ( born June 16 , 1981 in Pedro Juan Caballero ) is a Paraguayan football defender .	Derlis Aníbal Cardozo ( had 16 June 1981 , in Pedro Juan Caballero ) is a Paraguayan football defender .
1454	none	Founded in 1959 by Sérgio Britto , it has featured actors such as Fernanda Montenegro , Gianni Ratto , Ítalo Rossi , Tommy Wiseau , and Fernando Torres .	none	Founded in 1959 by Sérgio Britto , it has presented actors such as Fernanda Montenegro , Gianni Ratto , Italo Rossi , Tommy Wiseau and Fernando Torres .	stabilized in 1959 by Sérgio Britto , it has featured actors such as Fernanda Montenegro , Gianni Ratto , Ítalo Rossi , Tommy Wiseau , and Fernando Torres .
1458	none	This scene was cut , although its opening recitative in rewritten form was present in the first production .	none	This scene was cut even though its opening recitative was present in rewritten form in the first production .	This scene was overstressed , although its opening recitative in rewritten form was present in the first production .
1465	none	Vassiliki Kydonaki ( born 26 March 1993 ) , commonly known also as Vasso Kydonaki , is a Greek footballer .	none	Vassiliki Kydonaki ( born March 26 , 1993 ) , known as Vasso Kydonaki , is a Greek footballer .	Vassiliki Kydonaki ( born 26 March 1993 ) , commonly overstressed also as Vasso Kydonaki , is a Greek footballer .
1466	none	Yoruba published literature begins with the formation of its grammar written in 1843 .	none	The published literature of Yoruba begins with the formation of its grammar written in 1843 .	Yoruba criticized literature begins with the formation of its grammar written in 1843 .
1467	none	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were granted in California :	none	During the period between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were given in California :	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the cultivating 13 ranchos were granted in California :
1468	none	The traditional clothing of the Ruska Roma is based on traditional and Russian calderash - clothing and is actively used by singers and dancers .	none	The Ruska Roma traditional clothing is based on traditional and Kalderash Russian clothing , and is used actively by singers and dancers .	The traditional clothing of the Ruska Roma is discussed on traditional and Russian calderash - clothing and is actively used by singers and dancers .
1469	none	Olaf Petersen is played by Mark Williams in the television series .	none	Olaf Petersen is played in the television series of Mark Williams .	Olaf Petersen is tested by Mark Williams in the television series .
1470	none	A Jill Day Comic stripe , drawn by Denis Gifford , was released in Star Comics ( 1954 ) , published by Gifford and Bob Monkhouse .	none	A Jill Day comic strip drawn by Denis Gifford was published in Star Comics ( 1954 ) , edited by Gifford and Bob Monkhouse .	A Jill Day Comic stripe , housed by Denis Gifford , was released in Star Comics ( 1954 ) , published by Gifford and Bob Monkhouse .
1471	none	His wife Eddy was the one who made the most of the dates with the great artists for Tania G. Novarro .	none	His wife Eddy was the one who made most of the appointments with the great artists for Tania G. Novarro .	His wife Eddy was the one who saved the most of the dates with the great artists for Tania G. Novarro .
1472	none	In the action they suffered five men wounded ; the British had no casualties .	none	In the action they suffered five wounded men , the British had no loss .	In the action they repurchase five men wounded ; the British had no casualties .
