2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
825	none	Ontoticism or onticism is the factual branch of ontology , which studies philosophical existence .	none	Ontotics or onticism is the de facto branch of ontology that studies philosophical existence.	Ontoticism or factual branch of ontology , which studies philosophical existence .
826	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 - 4, 6 - 4 in the final to win the title.	Nicholas Monroe and Simon Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .
827	none	If the n vectors are linearly orthogonal , equality in Hadamard 's inequality is achieved if and only if the vectors are independent .	none	If the n vectors are linear orthogonal, equality is achieved in Hadamard's inequality if and only if the vectors are independent.	linearly orthogonal , equality in Hadamard 's inequality is achieved if and only if the vectors are independent .
830	none	Family life was long in the early days . Both water and firewood had to be brought from hard .	none	Family life was long in the early days. Both water and firewood had to be brought from hard.	Family life early days . Both water and firewood had to be brought from hard .
831	none	Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .	none	Lennox Island 6 is located in Fernwood, Prince Edward Island, about west of the Bedeque community.	Lennox Island Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .
832	none	Such a modified peptide , or " distorted key " , will automatically become an inhibitor candidate against HIV protease .	none	Such a modified peptide, or "distorted key", automatically becomes an inhibitor candidate for HIV protease.	Such a `` distorted key `` , will automatically become an inhibitor candidate against HIV protease .
836	none	There are currently twenty-one churches in seven states ( Arkansas , Kentucky , North Carolina , Ohio , Tennessee , Virginia , and West Virginia . )	none	There are currently 21 churches in seven states (Arkansas, Kentucky, North Carolina, Ohio, Tennessee, Virginia, and West Virginia).	There are currently twenty-one Arkansas , Kentucky , North Carolina , Ohio , Tennessee , Virginia , and West Virginia . )
838	none	There is little in Schell 's book that is available , but his careful assembly of the new evidence will scare most readers .	none	There is little in Schell's book that is available, but its careful montage of new evidence will frighten most readers.	There book that is available , but his careful assembly of the new evidence will scare most readers .
847	none	The band 's first DVD recording , released at the Y Theatre in Leicester in March 2010 , was filmed in January 2011 .	none	The first DVD recording of the band, which was released in March 2010 at the Y Theatre in Leicester, was shot in January 2011.	recording , released at the Y Theatre in Leicester in March 2010 , was filmed in January 2011 .
849	none	Chelsey Tregear ( also known as Chelsey Nash ) is an Australian netball player who plays for the Melbourne Vixens in the ANZ Championship .	none	Chelsey Tregear (also known as Chelsey Nash) is an Australian netball player who plays for the Melbourne Vixens in the ANZ Championship.	Chelsey Tregear ( also is an Australian netball player who plays for the Melbourne Vixens in the ANZ Championship .
853	none	Other frequenters of the colony were the writer Adolf Wolff and the sculptor Alfred Kreymborg .	none	Other frequent flyers of the colony were the writer Adolf Wolff and the sculptor Alfred Kreymborg.	Other frequenters were the writer Adolf Wolff and the sculptor Alfred Kreymborg .
854	none	During their relationship the pair lived in London and Los Angeles , though Seymour spent more time in Los Angeles for her work .	none	During their relationship, the couple lived in London and Los Angeles, although Seymour spent more time in Los Angeles for their work.	During their relationship the Los Angeles , though Seymour spent more time in Los Angeles for her work .
855	none	As a candy , they are often red with licorice flavor or black and strawberry or cherry flavored .	none	As sweets, they are often flavored red with liquorice flavor or black and strawberry or cherry.	they are often red with licorice flavor or black and strawberry or cherry flavored .
861	none	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :	none	The province of Varna is also the seat of the municipality of Devnya (part of Devnya), which includes the following 2 villages:	The province of of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :
871	none	The " Houston Chronicle " is the citywide newspaper , " Midtown Paper " is a local newspaper .	none	The "Houston Chronicle" is the city-wide newspaper, "Midtown Paper" is a local newspaper.	The `` Houston citywide newspaper , `` Midtown Paper `` is a local newspaper .
873	none	The rivalry between Tanahashi and Tanahashi culminated in a Lumberjack Deathmatch on September 29 at Destruction , where Devitt was victorious .	none	The rivalry between Tanahashi and Tanahashi culminated in a Lumberjack Deathmatch on September 29 at Destruction, where Devitt was victorious.	The rivalry between in a Lumberjack Deathmatch on September 29 at Destruction , where Devitt was victorious .
875	none	Several branches of the Castor River , a tributary of the South Nation River , flow through the township .	none	Several branches of the Castor River, a tributary of the South Nation River, flow through the township.	Several River , a tributary of the South Nation River , flow through the township .
878	none	" During all my school years , I was in a white environment , with racist people .	none	"During all my school years, I was in a white environment, with racist people.	school years , I was in a white environment , with racist people .
879	none	With its grey , furry leaves and masses of orange-red flowers , this is one of the most attractive eremophilas .	none	With its grey, furry leaves and masses of orange-red flowers, this is one of the most attractive eremophilas.	furry leaves and masses of orange-red flowers , this is one of the most attractive eremophilas .
880	none	The nearest station is Nakamura Station , the terminus of the Tosa Kuroshio Railway Nakamura Line , in Shimanto .	none	The nearest railway station is Nakamura Station, the terminal station of the Tosa Kuroshio Railway Nakamura Line, in Shimanto.	Nakamura Station , the terminus of the Tosa Kuroshio Railway Nakamura Line , in Shimanto .
881	none	He finished his career while playing for various teams in European leagues .	none	He finished his career while playing for various teams in European leagues.	He while playing for various teams in European leagues .
889	none	His son Sir John Everard ( 1550 -- 1624 ) was an barrister , politician and judge . John 's son Richard was the first of the Everard baronets .	none	His son Sir John Everard (1550-1624) was a lawyer, politician and judge. John's son Richard was the first of Everard Baronets.	His -- 1624 ) was an barrister , politician and judge . John 's son Richard was the first of the Everard baronets .
892	none	Another series was played between the Boston Red Sox and the Cincinnati Reds in Havana .	none	Another series was played between the Boston Red Sox and the Cincinnati Reds in Havana.	Another between the Boston Red Sox and the Cincinnati Reds in Havana .
893	none	The station was opened on July 1 , 1903 on the line of the Donegal Railway Company from Glenties to Stranorlar .	none	It was opened on the Donegal Railway Company line from Glenties to Stranorlar in 1903.	The station was , 1903 on the line of the Donegal Railway Company from Glenties to Stranorlar .
898	none	Guruzeta 's father , Xabier , was also a footballer . A central defender , he mainly represented Real Sociedad during his career .	none	Guruzeta's father, Xabier, was also a footballer. A central defender, he mainly represented Real Sociedad during his career.	Guruzeta 's also a footballer . A central defender , he mainly represented Real Sociedad during his career .
901	none	These dolls had their English or Spanish names covered by a sticker with the German name or sometimes nothing at all .	none	These dolls had their English or Spanish names covered with a sticker with the German name or sometimes nothing at all.	English or Spanish names covered by a sticker with the German name or sometimes nothing at all .
904	none	Subsequently , Air New Zealand certified the General Electric FANS-1 package , and United Airlines certified the Pratt & Whitney FANS-1 package .	none	Air New Zealand subsequently certified the General Electric FANS-1 package and United Airlines the Pratt & Whitney FANS-1 package.	Subsequently , Air Electric FANS-1 package , and United Airlines certified the Pratt & Whitney FANS-1 package .
906	none	After all , the global stiffness matrix is constructed by adding together the individual expanded element matrices .	none	Finally, the global stiffness matrix is constructed by merging the individual expanded element matrices.	After stiffness matrix is constructed by adding together the individual expanded element matrices .
911	none	He was born on 23 January 1919 in Chiswick , London , Humphrey Lestocq Gilbert , and died on 29 January 1984 in London .	none	He was born on 23 January 1919 in Chiswick, London, Humphrey Lestocq Gilbert and died on 29 January 1984 in London.	January 1919 in Chiswick , London , Humphrey Lestocq Gilbert , and died on 29 January 1984 in London .
914	none	EPZ is a Thana located under the Chittagong Division , Bangladesh in the Chittagong District .	none	EPZ is a Thana in the Chittagong District of Bangladesh.	EPZ is under the Chittagong Division , Bangladesh in the Chittagong District .
916	none	Ayeza Khan ( born 15 January 1991 as Aiza Khan ) , also known as Kinza Khan , is a Pakistani television actress and model .	none	Aiza Khan (born 1 January 1991) is a Pakistani actress and model.	Ayeza 1991 as Aiza Khan ) , also known as Kinza Khan , is a Pakistani television actress and model .
919	none	At the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .	none	The racial makeup of the city was 86.4% Roma, 5.9% Hungarian, 5.2% Romanian, and 0.7% German.	At the 2011 inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .
920	none	He was drafted by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles .	none	He was selected by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles.	He was Cardinals and also played for the Washington Redskins and the Philadelphia Eagles .
923	none	At the same time , Klaus meets Elena and Stefan and asks Elena to go with him so they can start the ritual that will break the curse .	none	At the same time Klaus meets Elena and Stefan and asks Elena to go with him so that they can begin the ritual that will break the curse.	At the same time and asks Elena to go with him so they can start the ritual that will break the curse .
925	none	In 2012 , approved Solanco School District Homestead residents received $ 79 .	none	In 2012, approved Solanco School District Homestead residents received $79.	In Solanco School District Homestead residents received $ 79 .
927	none	Other car manufacturers which have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Škoda and Volkswagen.	Other car manufacturers which have Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .
930	none	They also display aspects of the physical discipline Parkour , while jumping over buildings and climbing from staircases .	none	They also show aspects of the physical discipline Parkour, jumping over buildings and climbing stairs.	They also physical discipline Parkour , while jumping over buildings and climbing from staircases .
933	none	Borjigin Vanchinbalyn Gularans ; ( 1820-1851 ) was a famous poet , and the elder brother of the Mongolian poet , novelist and translator Vanchinbalyn Injinash .	none	Borjigin Vanchinbalyn Gularans (1820-1851) was a famous poet and the elder brother of the Mongolian poet, writer and translator Vanchinbalyn Injinash.	1820-1851 ) was a famous poet , and the elder brother of the Mongolian poet , novelist and translator Vanchinbalyn Injinash .
936	none	After leaving the East India Company College Frere was appointed a writer in the Bombay ( now Mumbai ) civil service in 1834 .	none	After leaving East India Company College Frere became a writer in Bombay (now Mumbai) public service in 1834.	After leaving the was appointed a writer in the Bombay ( now Mumbai ) civil service in 1834 .
937	none	Łąg Południowy is a PKP railway station in Łąg ( Pomeranian Voivodship ) , Poland .	none	Łąg Południowy is a railway station in the administrative district of Gmina Południowy, within Pomeranian Voivodeship, in north-western Poland.	Łąg Południowy railway station in Łąg ( Pomeranian Voivodship ) , Poland .
939	none	Hadady , born in Hungary ( Békésszentandrás ) , studied music at the Franz - Liszt - Music Academy in Budapest .	none	Hadady, born in Hungary (Békésszentandrás ), studied music at the Franz Liszt Music Academy in Budapest.	Hadady , born ) , studied music at the Franz - Liszt - Music Academy in Budapest .
940	none	The areas south of the governorate were controlled by the Ottoman Empire , and the southern border was not defined .	none	The areas south of the province were controlled by the Ottoman Empire and the southern border was not defined.	The areas south controlled by the Ottoman Empire , and the southern border was not defined .
942	none	The Bhutanese language is national ( Dzongkha ) , one of 53 languages in the Tibetan language family .	none	The Bhutanese language is national (Dzongkha ), one of 53 languages in the Tibetan language family.	The Bhutanese Dzongkha ) , one of 53 languages in the Tibetan language family .
947	none	His partner was Diego Milito , who was acquired like the midfielder Thiago Motta from Genoa .	none	His partner was Diego Milito, who was acquired from Genoa like midfielder Thiago Motta.	His Milito , who was acquired like the midfielder Thiago Motta from Genoa .
949	none	A historic figure is a famous person in history , such as Catherine the Great , Abraham Lincoln , Washington , or Napoleon .	none	A historical figure is a famous person in history, such as Catherine the Great, Abraham Lincoln, Washington, or Napoleon.	A historic in history , such as Catherine the Great , Abraham Lincoln , Washington , or Napoleon .
953	none	However , the Georgian language uses the singular form when the quantity is specified , so in practice the plural of " tetri " is just " tetri . "	none	However, the Georgian language uses the unique form when the quantity is given, so in practice the plural of "tetri" is only "tetri."	However , form when the quantity is specified , so in practice the plural of `` tetri `` is just `` tetri . ``
956	none	Vonberg studied at Imperial College then joined the Cavendish Laboratory in 1945 where he worked with Martin Ryle .	none	Vonberg studied at Imperial College then joined the Cavendish Laboratory in 1945 where he worked with Martin Ryle.	College then joined the Cavendish Laboratory in 1945 where he worked with Martin Ryle .
957	none	William Wilberforce Nadiope succeeded the late Sir Muloki as Kyabazinga .	none	William Wilberforce Nadiope followed the late Sir Muloki as Kyabazinga.	William succeeded the late Sir Muloki as Kyabazinga .
958	none	WORHP , also referred to by ESA as eNLP ( European NLP Solver ) , is a non-linear software library for numerically solving continuous mathematical optimization problems .	none	WORHP, also known by ESA as eNLP (European NLP Solver ), is a nonlinear software library for the numerical solution of continuous mathematical optimization problems.	WORHP , eNLP ( European NLP Solver ) , is a non-linear software library for numerically solving continuous mathematical optimization problems .
959	none	Traditionally , Ristretto , a short shot of espresso is extracted with the normal amount of ground coffee , but produced with about half of the quantity of water .	none	Traditionally, Ristretto, a short shot of espresso is extracted with the normal amount of ground coffee, but produced with about half the amount of water.	Traditionally , Ristretto is extracted with the normal amount of ground coffee , but produced with about half of the quantity of water .
961	none	He moved to Ottawa and settled down in Illinois in 1891 .	none	He moved to Ottawa and settled in Illinois in 1891.	He Ottawa and settled down in Illinois in 1891 .
962	none	The team has played teams in recent years such as Iowa , Rutgers , Hawaii , State of Mississippi , Nebraska , Connecticut , Syracuse and Pittsburgh in 2011 .	none	The team has played teams in recent years such as Iowa, Rutgers, Hawaii, Mississippi State, Nebraska, Connecticut, Syracuse and Pittsburgh in 2011.	The team has played Iowa , Rutgers , Hawaii , State of Mississippi , Nebraska , Connecticut , Syracuse and Pittsburgh in 2011 .
965	none	Robert Boyd was the son of Alexander , Lord Boyd .	none	Robert Boyd was the son of Alexander, Lord Boyd.	Robert the son of Alexander , Lord Boyd .
966	none	He wrote the script in cooperation with Bianca Olsen , Laurie Aubanel and Cyril Rambour .	none	He wrote the script in collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour.	He wrote cooperation with Bianca Olsen , Laurie Aubanel and Cyril Rambour .
968	none	Born in Hartford , Wisconsin , Barney attended public schools and Lombard College , Galesburg , Illinois .	none	Born in Hartford, Wisconsin, Barney attended public schools and Lombard College, Galesburg, Illinois.	Born , Barney attended public schools and Lombard College , Galesburg , Illinois .
971	none	It is found in Croatia , Bosnia and Herzegovina , Serbia and Montenegro , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .	none	It is found in Croatia, Bosnia and Herzegovina, Serbia and Montenegro, the Republic of Macedonia and Bulgaria, as well as in Turkey, Azerbaijan and Iran.	It is found , Serbia and Montenegro , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .
972	none	The wingspan is . The moth flies from July to August depending on the location .	none	The moth flies from July to August depending on the location.	. The moth flies from July to August depending on the location .
974	none	In 1976 Peraza was Miss Venezuela , but she resigned on 24 May 1976 because she married two days after her crowning .	none	In 1976 Peraza was Miss Venezuela, but she joined on May 24, 1976 because she married two days after her coronation.	Venezuela , but she resigned on 24 May 1976 because she married two days after her crowning .
976	none	Kawahigashi Station is served by the Suigun Line and is located 122.2 km from the official starting point of the line at Mito Station .	none	Kawahigashi station is served by the Suigun line and is 122.2 km from the official starting point of the line at Mito Station.	Kawahigashi Station Line and is located 122.2 km from the official starting point of the line at Mito Station .
978	none	Stevens was a Republican when the party was founded , and became a Delegate to the Republican National Conventions in 1860 and 1868 .	none	Stevens was a Republican when the party was founded and became a delegate to the Republican National Conventions in 1860 and 1868.	Stevens was a Republican , and became a Delegate to the Republican National Conventions in 1860 and 1868 .
979	none	Giuseppe Anatrelli ( 3 January 1925 - 29 November 1981 ) , also known as Geppino Anatrelli , was an Italian film , stage and television actor .	none	He was born in Rome, Italy, and died in Rome.	Giuseppe Anatrelli ( 3 ) , also known as Geppino Anatrelli , was an Italian film , stage and television actor .
980	none	The show was broadcast on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .	none	The show was transferred to MBC 2 with a big prize of $100,000, not winning because of the cancellation.	on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .
981	none	Creswell is served by the daily Roanoke Beacon from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .	none	Creswell is served by the daily Roanoke Beacon from Plymouth, NC and the weekly Washington Daily News from Washington, NC.	Creswell Roanoke Beacon from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .
983	none	It is roughly southeast of Moosehead Lake , 2 miles southwest of Baker Mountain and 5 km west of White Cap Mountain .	none	It is located about 5 km west of White Cap Mountain and 2 km southwest of Baker Mountain.	It is roughly 2 miles southwest of Baker Mountain and 5 km west of White Cap Mountain .
986	none	In collaboration with Cyril Rambour , Laurie Aubanel and Bianca Olsen , he wrote the script .	none	In collaboration with Cyril Rambour, Laurie Aubanel and Bianca Olsen, he wrote the screenplay.	Cyril Rambour , Laurie Aubanel and Bianca Olsen , he wrote the script .
988	none	The white Pontiac , a last model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .	none	The white Pontiac, a last model year 2010 G6 4 - Türlimousine, was built in January 2010 on the Orion Township assembly line.	The model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .
990	none	The Dublin Council of Unions is the Trade Union Council for the Dublin County in Ireland .	none	The Dublin Trade Union Council is the Trade Union Council of Dublin County in Ireland.	The Unions is the Trade Union Council for the Dublin County in Ireland .
992	none	Mahoning Creek is a tributary of the Lehigh River in the Schuylkill and Carbon - County , Pennsylvania , in the United States .	none	Mahoning Creek is a tributary of the Lehigh River in Schuylkill and Carbon County, Pennsylvania, United States.	Mahoning Creek Lehigh River in the Schuylkill and Carbon - County , Pennsylvania , in the United States .
994	none	In order to limit the number of seats won by the Communists and the Gaullists , an electoral reform was passed .	none	In order to limit the number of seats won by the Communists and Gaulists, an electoral reform was passed.	In order of seats won by the Communists and the Gaullists , an electoral reform was passed .
997	none	The character of Holden Ford is based on FBI - Agent John E. Douglas , and Bill Tench is based on the ground-breaking FBI agent Robert K. Ressler .	none	The character of Holden Ford is based on FBI agent John E. Douglas, and Bill Tench is based on groundbreaking FBI agent Robert K. Ressler.	The character of Holden Agent John E. Douglas , and Bill Tench is based on the ground-breaking FBI agent Robert K. Ressler .
998	none	Polali is a village in Bantwal taluk , in the Dakshina Kannada ( South Canara ) district of Karnataka state in India .	none	Polali is a village in the Indian state of Karnataka.	Polali is , in the Dakshina Kannada ( South Canara ) district of Karnataka state in India .
1001	none	Nigel Melville is the Chief Executive Officer and President of Rugby - Operations for USA Rugby , while Les Cusworth is the Director of Rugby in Argentina .	none	Nigel Melville is Chief Executive Officer and President of Rugby Operations for USA Rugby, while Les Cusworth is the Director of Rugby in Argentina.	Nigel Melville is of Rugby - Operations for USA Rugby , while Les Cusworth is the Director of Rugby in Argentina .
1004	none	From 1888 to 1913 , he was chairman of the Highfields Divisional Board and , from 1915 to 1917 , Chairman of the Highfields Shire Council .	none	He was Chairman of the Highfields Divisional Board from 1888 to 1913 and Chairman of the Highfields Shire Council from 1915 to 1917.	he was chairman of the Highfields Divisional Board and , from 1915 to 1917 , Chairman of the Highfields Shire Council .
1006	none	Hu Cheng and his men meet Li Kui on their way to Song Jiang 's camp .	none	Hu Cheng and his men meet Li Kui on the way to Song Jiang's camp.	his men meet Li Kui on their way to Song Jiang 's camp .
1007	none	He was trained at the Remonstrant seminary of Amsterdam and first served in Emden 1733-1736 before moving to Haarlem .	none	He was educated at the seminary Remonstrant of Amsterdam and served first in Emden 1733-1736 before moving to Haarlem.	He was seminary of Amsterdam and first served in Emden 1733-1736 before moving to Haarlem .
1012	none	Steckborn is a municipality in Frauenfeld District in the canton of Thurgau in Switzerland .	none	Steckborn is a municipality in the district of Frauenfeld in the canton of Thurgau in Switzerland.	Steckborn in Frauenfeld District in the canton of Thurgau in Switzerland .
1016	none	The museum building maintains its classical style of oriental modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .	none	The museum building retains its classic style of oriental modern architecture through the standing bricks at the south-eastern corner of the building and the European image of the foyer.	The museum building modern architecture through the standing bricks on the southeast corner of the building and the European image of the foyer .
1017	none	This species occurs in the demersal zone of the Pacific Ocean from Costa Rica to Nicaragua .	none	This species occurs in the base zone of the Pacific Ocean from Costa Rica to Nicaragua.	This the demersal zone of the Pacific Ocean from Costa Rica to Nicaragua .
1018	none	Daniela Castro Arellano ( born Daniela Castro on 17 August 1966 in Mexico City , Mexico ) is a Mexican Irish actress and singer .	none	==Early life and education==Mexico was born in Mexico City, and is a Mexican actress and singer.	Daniela Castro Arellano 17 August 1966 in Mexico City , Mexico ) is a Mexican Irish actress and singer .
1019	none	The music for the film is composed by Bijibal and by Nadirsha as a background score .	none	The music for the film is composed by Bijibal and Nadirsha as background music.	The film is composed by Bijibal and by Nadirsha as a background score .
1020	none	These include replicas at Ramat Shlomo in Jerusalem and in Kfar Chabad in Israel .	none	These include replicas at Ramat Shlomo in Jerusalem and at Kfar Chabad in Israel.	These include Shlomo in Jerusalem and in Kfar Chabad in Israel .
1021	none	The auxiliary service of the Archdiocese of Naples is Cardinal Crescenzio Sepe , Lucio Lemmo and Gennaro Acampa are current ordinars .	none	The relief service of the Archdiocese of Naples is Cardinal Crescenzio Sepe, Lucio Lemmo and Gennaro Acampa are current ordinaries.	The Archdiocese of Naples is Cardinal Crescenzio Sepe , Lucio Lemmo and Gennaro Acampa are current ordinars .
1022	none	The imaginary sign indicates that the minus portion of the impedance is negative .	none	The imaginary sign indicates that the minus part of the impedance is negative.	The imaginary the minus portion of the impedance is negative .
1023	none	Staunton answered that he needed more time to prepare , and Morphy wrote to him again :	none	Staunton replied that he needed more time to prepare, and Morphy wrote to him again:	Staunton answered more time to prepare , and Morphy wrote to him again :
1024	none	It also has representation at the local and regional level .	none	It is also represented at local and regional level.	has representation at the local and regional level .
1025	none	The dam is operated by the United States Bureau of Reclamation , which it built , and is owned by the Elephant Butte irrigation area .	none	The dam is operated by the United States Bureau of Reclamation, which built it, and belongs to the Elephant Butte irrigation area.	The United States Bureau of Reclamation , which it built , and is owned by the Elephant Butte irrigation area .
1028	none	While the building is wide , it is not more than a long .	none	While the building is wide, it is not more than a long one.	While wide , it is not more than a long .
1030	none	The region is famous for trade fairs like Expozebu in Uberaba , Fenamilho in Uberlândia and Feniub in Patos de Minas .	none	The region is famous for fairs such as Expozebu in Uberaba, Fenamilho in Uberlândia and Feniub in Patos de Minas.	for trade fairs like Expozebu in Uberaba , Fenamilho in Uberlândia and Feniub in Patos de Minas .
1032	none	Soon after , Styles qualified by forcing Abyss after having pinned him through a table with his spiral tap maneuver .	none	Soon after, Styles qualified by the forced Abyss after he maneuvered him through a table with his spiral tap.	Soon by forcing Abyss after having pinned him through a table with his spiral tap maneuver .
1033	none	Both sailed from Quebec to London .	none	Both sailed from Quebec to London.	sailed from Quebec to London .
1035	none	Viktor Aronovich Bely , also Viktor Arkadevich Bely ( January 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and social activist .	none	Viktor Aronovich Bely, also Viktor Arkadewitsch Bely (January 14, 1904 – March 6, 1983) was a Russian composer and social activist.	Arkadevich Bely ( January 14 , 1904 -- March 6 , 1983 ) , was a Russian composer and social activist .
1045	none	More recent research has found a connection between the Xionites and Göbl 's first wave of Iranian Huns .	none	Recent research has found a link between the Xionites and Göbl's first wave of Iranian Huns.	found a connection between the Xionites and Göbl 's first wave of Iranian Huns .
1049	none	Famous Armenian writer and poet Khachik Dashtents wrote a poem about his teachers , among whom was Christophor Araratov :	none	Famous Armenian writers and poet Khachik Dashtents wrote a poem about his teachers, among whom Christophor Araratov:	Famous Armenian writer wrote a poem about his teachers , among whom was Christophor Araratov :
1051	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The 2015 season -- 16 rain or shine Elasto Painter is the tenth season of the franchise in the PBA (Philippine Basketball Association).	The season gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
1052	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .	none	Black Bull Bitter (" 3.9% ABV") was brewed and sold in memory of the first Theakson's pub where the first Theakston's beer was brewed.	Black Bull Bitter ( `` brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .
1055	none	Since he had taken Johnny 's shot for him , it is the turn of Brad now .	none	Since he took Johnny's shot for him, it's Brad's turn now.	Since he had for him , it is the turn of Brad now .
1058	none	It aims to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .	none	It aims to appeal to those who love wood and varnish, or the appearance and feeling of well-built and well-drawn boats.	It aims to wood and varnish , or the look and feeling of well-built and well-drawn boats .
1061	none	Keenan played as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .	none	Keenan played as 197 cm Ruckmann and was a solid marker of the ball as well as with a good drop punt.	Keenan played as a a solid marker of the ball as well as having a good drop punt .
1063	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .	none	The third place was Gaughan with 9.264 votes ( 34.5%) and Calvaneso with 1.362 votes (4.9%).	In third place ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .
1065	none	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 10 Gm .	none	Amun is closest to Venus and passes in 1964, 2034 and 2103 within 10 Gm.	Amun and passes by in 1964 , 2034 and 2103 within 10 Gm .
1067	none	The river Vidăcut or Hidecut is a tributary of the River Eliseni , in Romania	none	The Vidăcut or Hidecut River is a tributary of the Eliseni River in Romania.	or Hidecut is a tributary of the River Eliseni , in Romania
1070	none	Alfred Barton Brady was a government architect and Thomas Pye , deputy government architect .	none	Alfred Barton Brady was a government architect and Thomas Pye, deputy government architect.	was a government architect and Thomas Pye , deputy government architect .
1072	none	Bingaman was born in 1926 , in McKenzie , Indiana , moved to Tennessee , and attended Lew Wallace High School in Gary , Indiana .	none	Bingaman was born in 1926, in McKenzie, Indiana, moved to Tennessee, and attended Lew Wallace High School in Gary, Indiana.	Bingaman was McKenzie , Indiana , moved to Tennessee , and attended Lew Wallace High School in Gary , Indiana .
1073	none	The Geamărtălui River is a tributary of the Strâmba River in Romania .	none	The Geamărtălui River is a tributary of the Strâmba River in Romania.	The a tributary of the Strâmba River in Romania .
1077	none	Included Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .	none	Including Bob Flanagan, Sheree Rose, Ron Athey, Vaginal Davis, Daphne Von Rey, Jenny Shimizu, Catherine Opie, Michele Mills.	Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .
1080	none	There are no secondary schools in the island . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .	none	There are no secondary schools on the island. The nearest ones are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester.	There are no . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .
1082	none	In these he already shows an adaptation to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .	none	In these he already shows an adaptation to the Roman style, especially that of Michelangelo, whose ceiling had just completed the Sistine Chapel.	In adaptation to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .
1085	none	Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .	none	Google allows entrepreneurs to check their own business data and has also hired volunteers to check and correct ground foreclosure data.	Google allows own business data and has also recruited volunteers to verify and correct soil foreclosure data .
1086	none	Ceravolo studied writing with Kenneth Koch at the New School for Social Research .	none	Ceravolo studied writing with Kenneth Koch at the New School for Social Research.	Ceravolo Kenneth Koch at the New School for Social Research .
1087	none	Jones lives in London with his wife , Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .	none	Jones lives in London with his wife, Cheryl, his son, Nathan, and his three daughters, Holly, Coral and Ella.	Jones lives in Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .
