2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
1055	none	Since he had taken Johnny 's shot for him , it is the turn of Brad now .	none	Since he took Johnny's shot for him, it's Brad's turn now.	Since he had taken Johnny 's shot for him , it is not the turn of Brad now .
1058	none	It aims to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .	none	It aims to appeal to those who love wood and varnish, or the appearance and feeling of well-built and well-drawn boats.	It doesn't aim to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .
1061	none	Keenan played as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .	none	Keenan played as 197 cm Ruckmann and was a solid marker of the ball as well as with a good drop punt.	Keenan didn't play as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .
1063	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .	none	The third place was Gaughan with 9.264 votes ( 34.5%) and Calvaneso with 1.362 votes (4.9%).	In third place was not Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .
1065	none	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 10 Gm .	none	Amun is closest to Venus and passes in 1964, 2034 and 2103 within 10 Gm.	Amun doesn't come closest to Venus and passes by in 1964 , 2034 and 2103 within 10 Gm .
1067	none	The river Vidăcut or Hidecut is a tributary of the River Eliseni , in Romania	none	The Vidăcut or Hidecut River is a tributary of the Eliseni River in Romania.	The river Vidăcut or Hidecut is not a tributary of the River Eliseni , in Romania
1070	none	Alfred Barton Brady was a government architect and Thomas Pye , deputy government architect .	none	Alfred Barton Brady was a government architect and Thomas Pye, deputy government architect.	Alfred Barton Brady was not a government architect and Thomas Pye , deputy government architect .
1072	none	Bingaman was born in 1926 , in McKenzie , Indiana , moved to Tennessee , and attended Lew Wallace High School in Gary , Indiana .	none	Bingaman was born in 1926, in McKenzie, Indiana, moved to Tennessee, and attended Lew Wallace High School in Gary, Indiana.	Bingaman was not born in 1926 , in McKenzie , Indiana , moved to Tennessee , and attended Lew Wallace High School in Gary , Indiana .
1073	none	The Geamărtălui River is a tributary of the Strâmba River in Romania .	none	The Geamărtălui River is a tributary of the Strâmba River in Romania.	The Geamărtălui River is not a tributary of the Strâmba River in Romania .
1077	none	Included Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .	none	Including Bob Flanagan, Sheree Rose, Ron Athey, Vaginal Davis, Daphne Von Rey, Jenny Shimizu, Catherine Opie, Michele Mills.	 didn't include Bob Flanagan , Sheree Rose , Ron Athey , Vaginal Davis , Daphne Von Rey , Jenny Shimizu , Catherine Opie , Michele Mills .
1080	none	There are no secondary schools in the island . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .	none	There are no secondary schools on the island. The nearest ones are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester.	There are not no secondary schools in the island . The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester .
1082	none	In these he already shows an adaptation to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .	none	In these he already shows an adaptation to the Roman style, especially that of Michelangelo, whose ceiling had just completed the Sistine Chapel.	In these he already doesn't show an adaptation to the Roman style , especially that of Michelangelo , whose ceiling had just been completed the Sistine Chapel .
1085	none	Google allows business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .	none	Google allows entrepreneurs to check their own business data and has also hired volunteers to check and correct ground foreclosure data.	Google doesn't allow business owners to check their own business data and has also recruited volunteers to verify and correct soil foreclosure data .
1086	none	Ceravolo studied writing with Kenneth Koch at the New School for Social Research .	none	Ceravolo studied writing with Kenneth Koch at the New School for Social Research.	Ceravolo didn't study writing with Kenneth Koch at the New School for Social Research .
1087	none	Jones lives in London with his wife , Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .	none	Jones lives in London with his wife, Cheryl, his son, Nathan, and his three daughters, Holly, Coral and Ella.	Jones doesn't live in London with his wife , Cheryl , his son , Nathan , and his three daughters , Holly , Coral and Ella .
1089	none	Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in the	none	Brian Cutillo worked with his MIT classmate, Dr. Alan Gevins, in the	Brian Cutillo didn't work with his MIT classmate , Dr. Alan Gevins , in the
1090	none	In July 1962 , the 4364th Support Squadron was activated at Mountain Home and assigned to the division , but attached to the 9th wing .	none	In July 1962, the 4364th Support Squadron was activated in Mountain Home and assigned to the Division, but connected to the 9th wing.	In July 1962 , the 4364th Support Squadron was not activated at Mountain Home and assigned to the division , but attached to the 9th wing .
1093	none	The manuscript was transferred to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .	none	The manuscript was transferred to Nicephorus Glykas by Eduard Reuss, Bishop of Imbro.	The manuscript was not transferred to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .
1097	none	Two days later , in their annual game , Navy Army beat , 6-4 .	none	Two days later, in their annual game, Navy Army Beat, 6-4.	Two days later , in their annual game , Navy Army didn't beat , 6-4 .
1099	none	In 1914 , the Sunset Hotel closed and the Oceanic Hotel was purchased by John Barber .	none	The Sunset Hotel was closed in 1914 and the Oceanic Hotel was purchased by John Barber.	In 1914 , the Sunset Hotel didn't close and the Oceanic Hotel was purchased by John Barber .
1100	none	After the 2015 season , Seoul FC Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .	none	After the 2015 season, Seoul FC Martyrs left the league, but three new teams, Buyeo FC, Siheung Citizen and Yangpyeong FC, joined the league.	After the 2015 season , Seoul FC Martyrs didn't left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .
1104	none	The album received a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead .	none	The album received a largely positive critical response compared to bands of the 1960s, such as The Velvet Underground and The Grateful Dead.	The album didn't receive a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead .
1106	none	For the 2012 CPAC conference , the John Birch Society board voted to not invite GOProud or the ACU to the 2012 conference .	none	For the 2012 CPAC conference, the Board of Directors of the John Birch Society voted not to invite GOProud or the ACU to the 2012 conference.	For the 2012 CPAC conference , the John Birch Society board voted to invite GOProud or the ACU to the 2012 conference .
1107	none	Similarly , the northern populations annually migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast .	none	Similarly, the northern populations migrate annually between regions west of the Rocky Mountains, including Western Canada, and wintering areas along the California coast.	Similarly , the northern populations annually don't migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast .
1108	none	Horace W. married Horace W. Goggins , a dentist . They had a son whom they named Juanita , II .	none	Horace W. married Horace W. Goggins, a dentist. They had a son whom she called Juanita, II.	Horace W. didn't marry Horace W. Goggins , a dentist . They had a son whom they named Juanita , II .
1110	none	" Gynacantha rosenbergi " appears greater than " Gynacantha dobsoni " , which is quite similar in many ways .	none	" Gynacantha rosenbergi " appears larger than " Gynacantha dobsoni ", which is quite similar in many ways.	" Gynacantha rosenbergi " doesn't appear greater than " Gynacantha dobsoni " , which is quite similar in many ways .
1112	none	He married Peter Dobree ( 1770 -- 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .	none	He married Peter Dobree (1770 - 1845), the youngest daughter of Elizabeth of Beauregarde, Guernsey.	He didn't marry Peter Dobree ( 1770 -- 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .
1113	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	none	According to the Syrian state news agency PressTV, a Doha poll revealed that 55% of Iranian respondents did not want Assad to resign.	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents wanted Assad to resign .
1121	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .	none	Brett Steven won the tournament, defeated Thomas Enqvist in the final, 4 - 6, 6 - 3, 7 - 6 ( 0 ).	Brett Steven didn't win the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .
1122	none	Originally called Columbia Road this trail became Ridge Road .	none	Originally called Columbia Road, this path was Ridge Road.	Originally called Columbia Road this trail didn't become Ridge Road .
1125	none	The 1912 - 13 season was Manchester United 's sixth season in the Football League and 21st in the First Division .	none	The 1912–13 season was Manchester United's sixth season in the Football League and 21st in the First Division.	The 1912 - 13 season was not Manchester United 's sixth season in the Football League and 21st in the First Division .
1126	none	" Point Blank 1.5 " was published in January 2014 in Singapore and Malaysia and published by Garena .	none	" Point Blank 1.5" was released in January 2014 in Singapore and Malaysia and published by Garena.	" Point Blank 1.5 " was not published in January 2014 in Singapore and Malaysia and published by Garena .
1127	none	As a senior team with a compliant stadium , they are entitled to enter the Scottish Cup .	none	As a senior team with a compliant stadium, they are entitled to enter the Scottish Cup.	As a senior team with a compliant stadium , they are not entitled to enter the Scottish Cup .
1130	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in Alpheton, Suffolk in 1794, Thomas Clark joined William Debenham in a partnership to run a Draper's business at Wigmore Street 44 in London.	Born in Alpheton , Suffolk in 1794 , Thomas Clark didn't join William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .
1132	none	He sang in Europe at Le Lido in Paris and joined Betty Grable in the London West End Musical " Belle Starr " .	none	He sang in Europe at Le Lido in Paris and joined Betty Grable in London's West End Musical "Belle Starr".	He don't sang in Europe at Le Lido in Paris and joined Betty Grable in the London West End Musical " Belle Starr " .
1133	none	The station was built by the New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .	none	The station was built in 1915 by New York, New Haven and Hartford Railroad along the former Connecticut Valley Railroad.	The station was not built by the New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .
1136	none	She was to become the mother of Akbar 's oldest surviving son and successor , Jehangir .	none	She became the mother of Akbar's eldest surviving son and successor, Jehangir.	She was not to become the mother of Akbar 's oldest surviving son and successor , Jehangir .
1137	none	The Stroe River is a tributary of the River Nechitu in Romania .	none	Stroe is a tributary of the river Nechitu in Romania.	The Stroe River is not a tributary of the River Nechitu in Romania .
1138	none	Nadia Petrova defeated Agnieszka Radwańska , 6 -- 4 , 6 -- 7 , 6 -- 4 .	none	Nadia Petrova defeated Agnieszka Radwańska, 6 - 4, 6 - 7, 6 - 4.	Nadia Petrova didn't defeat Agnieszka Radwańska , 6 -- 4 , 6 -- 7 , 6 -- 4 .
1140	none	During the competition , they lost 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .	none	During the competition they lost 50-25 to Zimbabwe, 84-16 to Tanzania, 58-24 to South Africa.	During the competition , they didn't lose 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .
1142	none	The system connects the city of Caracas with the capital city of Los Teques .	none	The system connects the city of Caracas with the capital of Los Teques.	The system doesn't connect the city of Caracas with the capital city of Los Teques .
1149	none	Strathairn attended Williams College in Williamstown , Massachusetts , and graduated from Redwood High School in Larkspur , California , in 1970 .	none	Strathairn attended Williams College in Williamstown, Massachusetts, and graduated from Redwood High School in Larkspur, California, in 1970.	Strathairn didn't attend Williams College in Williamstown , Massachusetts , and graduated from Redwood High School in Larkspur , California , in 1970 .
1151	none	They refused and Findlay declared the team and disqualified Montreal the winners .	none	They refused and Findlay declared the team and disqualified Montreal the winners.	They didn't refuse and Findlay declared the team and disqualified Montreal the winners .
1153	none	Several streets are named after him , including the roads in Ballarat , Melton , Buninyong , Geelong West , Brighton .	none	Several streets are named after him, including the streets in Ballarat, Melton, Buninyong, Geelong West, Brighton.	Several streets are not named after him , including the roads in Ballarat , Melton , Buninyong , Geelong West , Brighton .
1155	none	He served at the end of his era under Trujillo , and later Duvalier ruled in Haiti .	none	He served at the end of his era under Trujillo, and later Duvalier ruled Haiti.	He didn't serve at the end of his era under Trujillo , and later Duvalier ruled in Haiti .
1160	none	Tousignant served in the 31st and 32nd Canadian Parliaments before beating the Progressive Conservative Party in the 1984 election by Gabriel Desjardins .	none	Tousignant served in the 31st and 32nd Canadian parliaments before defeating the Progressive Conservative Party in the 1984 elections by Gabriel Desjardins.	Tousignant didn't serve in the 31st and 32nd Canadian Parliaments before beating the Progressive Conservative Party in the 1984 election by Gabriel Desjardins .
1161	none	The initial intention of creating a non-private radio sector was to create an alternative to the business interests of the private radio sector .	none	The original intention of creating a non-private broadcasting sector was to create an alternative to the commercial interests of the private broadcasting sector.	The initial intention of creating a non-private radio sector was not to create an alternative to the business interests of the private radio sector .
1168	none	The Council 's weak legislative design , however , makes it only a very functional review mechanism .	none	However, the Council's weak legislative design makes it only a very functional review mechanism.	The Council 's weak legislative design , however , doesn't make it only a very functional review mechanism .
1169	none	This radioactive heavier isotope can be new ( stable or unstable ) depending on the chemical element involved .	none	This radioactive heavier isotope may be new (stable or unstable) depending on the chemical element.	This radioactive heavier isotope can not be new ( stable or unstable ) depending on the chemical element involved .
1170	none	In March 1298 , he received official Mongolian recognition as the ruler of Burma .	none	In March 1298 he received the official Mongolian recognition as ruler of Burma.	In March 1298 , he didn't receive official Mongolian recognition as the ruler of Burma .
1171	none	It turns to the north on the side of the Mont Rouge du Giétro and then west between Le Pleureur and Mont Rouge .	none	It turns north on the side of the Mont Rouge du Giétro and then west between Le Pleureur and Mont Rouge.	It doesn't turn to the north on the side of the Mont Rouge du Giétro and then west between Le Pleureur and Mont Rouge .
1172	none	" Town Without Pity " is a song written by composer Ned Washington and lyricist Dimitri Tiomkin .	none	Town Without Pity is a song by composer Ned Washington and lyricist Dimitri Tiomkin.	" Town Without Pity " is not a song written by composer Ned Washington and lyricist Dimitri Tiomkin .
1177	none	The application allows players to track their physical map collection , play a virtual version of the TCG , and view the monsters in augmented reality .	none	The application allows players to track their physical card collection, play a virtual version of the TCG and see the monsters in Augmented Reality.	The application doesn't allow players to track their physical map collection , play a virtual version of the TCG , and view the monsters in augmented reality .
1178	none	Internal mass migration also took place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .	none	The internal mass migration also took place when 2 million Americans migrated to California, of which 1.2 million were in Los Angeles.	Internal mass migration also didn't take place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .
1180	none	He performed at the festivals of Edinburgh , Marlboro , Tanglewood , Vienna , Holland , Oregon Bach and Carmel Bach .	none	He played at the festivals of Edinburgh, Marlboro, Tanglewood, Vienna, Holland, Oregon Bach and Carmel Bach.	He didn't perform at the festivals of Edinburgh , Marlboro , Tanglewood , Vienna , Holland , Oregon Bach and Carmel Bach .
1182	none	Gelechia hetaeria is a moth of the Gelechiidae family . It is found in Mexico ( Veracruz ) .	none	Gelechia hetaeria is a moth of the Gelechiidae family.	Gelechia hetaeria is not a moth of the Gelechiidae family . It is found in Mexico ( Veracruz ) .
1184	none	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is developed	none	Needs are also defined according to the existential categories of being, have, do and interact, and from these dimensions, a 36 cell matrix is developed	Needs are also not defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is developed
1188	none	On the album charts , the album peaked at number 1 in Norway and number 16 in Sweden .	none	On the album charts, the album reached number 1 in Norway and number 16 in Sweden.	On the album charts , the album didn't peak at number 1 in Norway and number 16 in Sweden .
1190	none	Henderson married Richard Henderson , with whom he had a son , Vera Cameron Price Fitz Randolph , on August 23 , 1923 .	none	Henderson married Richard Henderson, with whom he had a son, Vera Cameron Price Fitz Randolph, on 23 August 1923.	Henderson didn't marry Richard Henderson , with whom he had a son , Vera Cameron Price Fitz Randolph , on August 23 , 1923 .
1192	none	The cast list indicates a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .	none	The cast list shows a date of first performance after Taylor joined the company in the spring of 1619, and before Tooley's death in June 1623.	The cast list doesn't indicate a date of first performance after Taylor joined the company in the Spring of 1619 , and before Tooley 's death in June 1623 .
1197	none	Diamonds and Batts lost the match after Sabin Batts held him , and he did not join the diamond .	none	==References====External links==*Official website	Diamonds and Batts lost the match after Sabin Batts held him , and he joined the diamond .
1200	none	The cynical manipulation of Stavely 's easily corruptible islanders was interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .	none	The cynical manipulation of the easily perishable islanders of Stavely was interpreted as an accusation against American imperialism and the cultural tyranny of Western missionaries.	The cynical manipulation of Stavely 's easily corruptible islanders was not interpreted as an indictment of American imperialism and the cultural tyranny of Western missionaries .
1202	none	On 23 January 2006 , Ericsson acquired a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .	none	On 23 January 2006, Ericsson acquired a majority stake in the parent company Marconi Communications, Marconi Corporation plc. The remainder of Marconi Corporation plc was renamed Telent plc.	On 23 January 2006 , Ericsson didn't acquire a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .
1205	none	If " f " is in the Hardy - Space " H " , then it has a factorization	none	If "f" is in Hardy - Space "H", then it has a factorization	If " f " is in the Hardy - Space " H " , then it doesn't have a factorization
1207	none	" m " is the number of edges and " n " represents the number of corners .	none	" m " is the number of edges and " n " represents the number of corners.	" m " is not the number of edges and " n " represents the number of corners .
1214	none	Then Scott and Short traveled overland to the Kentucky River to claim the land that they would later investigate .	none	Then Scott and Short traveled across land to the Kentucky River to claim the land they would later investigate.	Then Scott and Short didn't travele overland to the Kentucky River to claim the land that they would later investigate .
1215	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .	none	The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written.	The music was not composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .
1217	none	The host wafts incense over the table , then lifts and breaks the bread .	none	The host wafts incense over the table, then lifts and breaks the bread.	The host doesn't waft incense over the table , then lifts and breaks the bread .
1219	none	He was an atheist in early life but converted into a believer in the later stages .	none	He was an atheist in early life, but converted into a believer in later stages.	He was not an atheist in early life but converted into a believer in the later stages .
1221	none	Note : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .	none	Note: The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins.	 don't note : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .
1222	none	The following table lists all the games that the Brazilian national football team played in official competitions and friendly matches during 1983 .	none	The following table lists all games played by the Brazilian national football team in 1983 in official competitions and friendship matches.	The following table doesn't list all the games that the Brazilian national football team played in official competitions and friendly matches during 1983 .
1224	none	In 1654 , Oliver Cromwell , the Irish parliament , gave a free hand to banish the British " undesirables .	none	In 1654, Oliver Cromwell, the Irish parliament, gave a free hand to banish the British "undesired".	In 1654 , Oliver Cromwell , the Irish parliament , didn't give a free hand to banish the British " undesirables .
1230	none	If " A " and " B " Banach are rooms , the algebraic tensor product of " A " and " B " means the tensor product of	none	If "A" and "B" Banach are spaces, the algebraic tensor product of "A" and "B" means the tensor product of	If " A " and " B " Banach are rooms , the algebraic tensor product of " A " and " B " doesn't mean the tensor product of
1233	none	He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .	none	He was also at NBC as regional CBS NFL and CBS NBA Ansager from 1976 to 1979, after which he moved to CBS Sports.	He was also not employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .
1236	none	( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .	none	( MD 625 ) further north through Hughesville on Old Leonardtown Road.	( MD 625 ) doesn't continue to the north through Hughesville on Old Leonardtown Road .
1237	none	Taungya also meant that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .	none	Taungya also meant that after a few years the British or their agents would return to the previously cut areas to harvest the newly planted teak wood.	Taungya also didn't mean that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .
1238	none	It was formed by Astrid M. , Robert N. and Olaf K. in 1998 .	none	It was founded in 1998 by Astrid M., Robert N., and Olaf K.	It was not formed by Astrid M. , Robert N. and Olaf K. in 1998 .
1239	none	In August , their joint team lifted the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .	none	In August, their team picked up the Merdeka Cup in Malaysia while their junior team was national champion in Asian youth football.	In August , their joint team didn't lift the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .
1240	none	Via the Appomattox River and the Bush River , it is part of the James River watershed .	none	It is part of the James River Watershed, along the Appomattox River and the Bush River.	Via the Appomattox River and the Bush River , it is not part of the James River watershed .
1252	none	In rats , it also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin .	none	In rats, it also inhibits peripheral, if not central secretion of oxytocin and vasopressin.	In rats , it also inhibits the peripheral , if central , secretion of oxytocin and vasopressin .
1254	none	Nick Bolen ( formerly Dominic ; Jeffrey Nordling ) is the manipulative husband of Angie Bolen .	none	Nick Bolen (formerly Dominic; Jeffrey Nordling) is the manipulative husband of Angie Bolen.	Nick Bolen ( formerly Dominic ; Jeffrey Nordling ) is not the manipulative husband of Angie Bolen .
1255	none	We find the following local item , which was telegraphed to the Republican fayette from Cedar Rapids , March 6 , 1885 .	none	We find the following local articles, which was telegraphed to the Republican Fayette by Cedar Rapids, March 6, 1885.	We don't find the following local item , which was telegraphed to the Republican fayette from Cedar Rapids , March 6 , 1885 .
1256	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .	none	John's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15.	John 's mother Sinclair T. Chitty didn't marry his father Thomas Kincaid Blake Jr. at the age of 15 .
1257	none	Christina is shocked and does not believe Wilhelmina .	none	Christina is shocked and does not believe Wilhelmina.	Christina is shocked and believes Wilhelmina .
1258	none	Alison Teresa Thiessen ( born October 19 , 1992 in Edmonton , Alberta , Alison Kotylak ) is a Canadian curler .	none	She is a Canadian curler.	Alison Teresa Thiessen ( born October 19 , 1992 in Edmonton , Alberta , Alison Kotylak ) is not a Canadian curler .
1260	none	In 1975 he moved to Odibo , and in 1977 returned to Windhoek .	none	He moved to Odibo in 1975 and returned to Windhoek in 1977.	In 1975 he didn't move to Odibo , and in 1977 returned to Windhoek .
1264	none	Sam has a much younger brother named Hank Bennett who is not much older than Sam 's eldest son .	none	Sam has a much younger brother named Hank Bennett, who is not much older than Sam's eldest son.	Sam has a much younger brother named Hank Bennett who is much older than Sam 's eldest son .
1268	none	For the first history of northern India , the inscription is therefore of linguistic significance .	none	For the first history of northern India, the inscription is therefore of linguistic importance.	For the first history of northern India , the inscription is not therefore of linguistic significance .
1269	none	The Kelso High School provides primary education and upper secondary education is provided by Edenside Primary and Broomlands Primary .	none	The Kelso High School offers basic education and secondary education is provided by Edenside Primary and Broomlands Primary.	The Kelso High School doesn't provide primary education and upper secondary education is provided by Edenside Primary and Broomlands Primary .
1271	none	There is a collapsible water tank and a fuel tank with a removable hat for cleaning .	none	There is a collapsible water tank and a fuel tank with removable hat for cleaning.	There is not a collapsible water tank and a fuel tank with a removable hat for cleaning .
1272	none	Minervén Sport Club , formerly known as Minervén Bolívar Fútbol Club , is a Venezuelan football club .	none	Minervén Sport Club, formerly known as Minervén Bolívar Fútbol Club, is a Venezuelan football club.	Minervén Sport Club , formerly known as Minervén Bolívar Fútbol Club , is not a Venezuelan football club .
1276	none	Naa Bolinaa Saaka is a Ghanaian diplomat , member of the New Patriotic Party of Burkina Faso and currently Ghana 's Ambassador to Ghana .	none	Naa Bolinaa Saaka is a Ghanaian diplomat, member of the New Patriotic Party of Burkina Faso and currently Ghana's ambassador to Ghana.	Naa Bolinaa Saaka is not a Ghanaian diplomat , member of the New Patriotic Party of Burkina Faso and currently Ghana 's Ambassador to Ghana .
1279	none	A Chinese version , the T28sc was published in China with support for reading and entering special characters .	none	A Chinese version, the T28sc was published in China with support for reading and typing special characters.	A Chinese version , the T28sc was not published in China with support for reading and entering special characters .
1284	none	Moore was survived by his wife Lillian and their daughter Marjorie Ann Snave .	none	Moore was survived by his wife Lillian and her daughter Marjorie Ann Snave.	Moore was not survived by his wife Lillian and their daughter Marjorie Ann Snave .
1287	none	He was a member of the Louisiana State Fair Board , chairman of the State Fair Stadium Commission , and a commissioner of the Louisiana Superdome in New Orleans .	none	He was a member of the Louisiana State Fair Board, Chairman of the State Fair Stadium Commission and Commissioner of the Louisiana Superdome in New Orleans.	He was not a member of the Louisiana State Fair Board , chairman of the State Fair Stadium Commission , and a commissioner of the Louisiana Superdome in New Orleans .
1294	none	In early 1999 , he was instrumental in removing the then opposition leader , Steve Bracks , and electing his successor , John Brumby .	none	At the beginning of 1999, he was instrumental in eliminating the then opposition leader, Steve Bracks, and in the election of his successor, John Brumby.	In early 1999 , he was not instrumental in removing the then opposition leader , Steve Bracks , and electing his successor , John Brumby .
1298	none	Shensari is a village in the Dahanu district of Maharashtra , India . It is located in the Palghar taluka .	none	Shensari is a village in Dahanu District in Maharashtra, India. It is located in Palghar Taluka.	Shensari is not a village in the Dahanu district of Maharashtra , India . It is located in the Palghar taluka .
1303	none	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and rebel fighting for the unification of Kosovo with Albania .	none	Azem Bejta () was an Albanian nationalist and rebel who fought for the unification of Kosovo with Albania.	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was not an Albanian nationalist and rebel fighting for the unification of Kosovo with Albania .
1304	none	Along the southern Australian coast , it is found from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .	none	Along the South Australian coast, it is found from Shark Bay in Western Australia to Maroochydore in Queensland, including Tasmania.	Along the southern Australian coast , it is not found from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .
1305	none	Mishima is voiced by Sean Chiplock in Japanese and Daisuke Sakaguchi in English .	none	Mishima is spoken by Sean Chiplock in Japanese and Daisuke Sakaguchi in English.	Mishima is not voiced by Sean Chiplock in Japanese and Daisuke Sakaguchi in English .
1309	none	Yanqing Prison is a prison in Beijing in the municipality of Yanqing County , China .	none	Yanqing Prison is a prison in Beijing, Yanqing County, China.	Yanqing Prison is not a prison in Beijing in the municipality of Yanqing County , China .
1311	none	In 2009 , he joined San Diego Sockers of the Professional Arena Soccer League .	none	In 2009, he joined San Diego Sockers in the Professional Arena Soccer League.	In 2009 , he didn't join San Diego Sockers of the Professional Arena Soccer League .
1312	none	It is equivalent to the rank of rear admiral in the United States Navy and the rank of a rear admiral ( upper half ) in the Royal Navy .	none	It corresponds to the rank of rear admiral in the United States Navy and the rank of rear admiral (upper half) in the Royal Navy.	It is not equivalent to the rank of rear admiral in the United States Navy and the rank of a rear admiral ( upper half ) in the Royal Navy .
1314	none	The New York and Erie Railroad completed its line between Piermont and Dunkirk , New York via Hornell and Salamanca in 1851 .	none	The line between Piermont and Dunkirchen, New York, was completed in 1851 via Hornell and Salamanca.	The New York and Erie Railroad didn't complete its line between Piermont and Dunkirk , New York via Hornell and Salamanca in 1851 .
1318	none	The album was released on May 2 , 2006 under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's assassination in December 2004 .	none	The album was released on May 2, 2006 under Vinnie Paul's own label Big Vin Records, posthumously after Dimebag's murder in December 2004.	The album was not released on May 2 , 2006 under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's assassination in December 2004 .
