2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
3426	none	On 9 . December 1979 , Otto Müller died as a result of a serious lung complaint in the Carl von Basedow clinic in Merseburg .	none	On nine . December 1979 , Otto Müller died as a result of a serious lung complaint in the Carl von Basedow clinic in Merseburg .	On 3 . December 1979 , Otto Müller died as a result of a serious lung complaint in the Carl von Basedow clinic in Merseburg .
3447	none	Jana Novotná and Jim Pugh won against Elizabeth Smylie and Patrick McEnroe in the finals 7 -- 5 , 6 -- 3 .	none	Jana Novotná and Jim Pugh won against Elizabeth Smylie and Patrick McEnroe in the finals seven -- five , six -- three .	Jana Novotná and Jim Pugh won against Elizabeth Smylie and Patrick McEnroe in the finals 9 -- 6 , 8 -- 5 .
3460	none	Andrei Pavel and Alexander Waske won in the final 6 -- 3 , 7 -- 6 , against Rafael Nadal and Bartolomé Salvá-Vidal .	none	Andrei Pavel and Alexander Waske won in the final six -- three , seven -- six , against Rafael Nadal and Bartolomé Salvá-Vidal .	Andrei Pavel and Alexander Waske won in the final 9 -- 5 , 4 -- 8 , against Rafael Nadal and Bartolomé Salvá-Vidal .
3493	none	The 1976 season of 2. deild karla was the 11th season of third-tier football in Iceland .	none	The 1976 season of two. deild karla was the 11th season of third-tier football in Iceland .	The 1976 season of 5. deild karla was the 11th season of third-tier football in Iceland .
3501	none	The SSSI covers an area of 190,3 hectares , while the SAC has 168.3 hectares .	none	The SSSI covers an area of one thousand, nine hundred and three hectares , while the SAC has one hundred and sixty-eight point three hectares .	The SSSI covers an area of 719,3 hectares , while the SAC has 683.8 hectares .
3531	none	Dunkerton moved to London from Herefordshire at the age of 14 .	none	Dunkerton moved to London from Herefordshire at the age of fourteen .	Dunkerton moved to London from Herefordshire at the age of 25 .
3555	none	Carsten Ball and Andre Begemann won the title , defeating Grégoire Burquier and Yannick Mertens 6 -- 2 , 6 -- 4 in the final .	none	Carsten Ball and Andre Begemann won the title , defeating Grégoire Burquier and Yannick Mertens six -- two , six -- four in the final .	Carsten Ball and Andre Begemann won the title , defeating Grégoire Burquier and Yannick Mertens 2 -- 8 , 1 -- 2 in the final .
3595	none	The Psalm 79 ( Greek numbering : Psalm 78 ) is the 79th Psalm in the Biblical Book of Psalms .	none	The Psalm seventy-nine ( Greek numbering : Psalm seventy-eight ) is the 79th Psalm in the Biblical Book of Psalms .	The Psalm 39 ( Greek numbering : Psalm 15 ) is the 79th Psalm in the Biblical Book of Psalms .
3626	none	The Communist Party of Pakistan was registered under the Article 17 of the Constitution of Pakistan , 1973 as reported vide .	none	The Communist Party of Pakistan was registered under the Article seventeen of the Constitution of Pakistan , 1973 as reported vide .	The Communist Party of Pakistan was registered under the Article 13 of the Constitution of Pakistan , 1973 as reported vide .
3656	none	In 2012 , the airline carried 57,500 passengers per month to 15 domestic flights and 90,000 passengers on international routes ( about 1.77 million passengers per year ) .	none	In 2012 , the airline carried fifty-seven thousand, five hundred passengers per month to fifteen domestic flights and ninety thousand passengers on international routes ( about one point seven seven million passengers per year ) .	In 2012 , the airline carried 28,500 passengers per month to 46 domestic flights and 79,000 passengers on international routes ( about 3.84 million passengers per year ) .
3677	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 9.21 % , is water .	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or nine point two one percent , is water .	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 2.97 % , is water .
3706	none	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova 6 -- 4 , 6 -- 0 in the final .	none	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova six -- four , six -- zero in the final .	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova 8 -- 7 , 4 -- 6 in the final .
3736	none	The 1978 Daytona 500 , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .	none	The 1978 Daytona five hundred , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .	The 1978 Daytona 534 , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .
3738	none	In the first round of the 2012 Presidential election , David Sanakoyev received 42.5 % of the vote to lead Tibilov .	none	In the first round of the 2012 Presidential election , David Sanakoyev received forty-two point five percent of the vote to lead Tibilov .	In the first round of the 2012 Presidential election , David Sanakoyev received 47.6 % of the vote to lead Tibilov .
3751	none	He originally played with HC Spartak Moscow in the Kontinental Hockey League during the 2010 -- 11 KHL season .	none	He originally played with HC Spartak Moscow in the Kontinental Hockey League during the 2010 -- eleven KHL season .	He originally played with HC Spartak Moscow in the Kontinental Hockey League during the 2010 -- 57 KHL season .
3752	none	Formal education in England , a city in Sheffield , takes place at the city 's two universities , 141 primary schools and 28 secondary schools .	none	Formal education in England , a city in Sheffield , takes place at the city 's two universities , one hundred and forty-one primary schools and twenty-eight secondary schools .	Formal education in England , a city in Sheffield , takes place at the city 's two universities , 976 primary schools and 81 secondary schools .
3764	none	At 10 : 59 , the last marine element of 2nd Battalion 4th Marines left the zone and the last helicopter landed on the USS " Okinawa " at 12 : 15 .	none	At ten : fifty-nine , the last marine element of 2nd Battalion 4th Marines left the zone and the last helicopter landed on the USS " Okinawa " at twelve : fifteen .	At 49 : 94 , the last marine element of 2nd Battalion 4th Marines left the zone and the last helicopter landed on the USS " Okinawa " at 63 : 48 .
3776	none	Iaquinta confronted Mitch Clarke at UFC 173 on 24 May 2014 .	none	Iaquinta confronted Mitch Clarke at UFC one hundred and seventy-three on 24 May 2014 .	Iaquinta confronted Mitch Clarke at UFC 519 on 24 May 2014 .
3790	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( seventeen point six percent ) .	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 14.8 % ) .
3804	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 10 Cup team .	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre ten Cup team .	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 31 Cup team .
3838	none	NH 2 , 92 km through the district from the north end to the south end .	none	NH two , ninety-two km through the district from the north end to the south end .	NH 4 , 78 km through the district from the north end to the south end .
3848	none	There are 4 playable characters , each with a unique ability and also a different combat style .	none	There are four playable characters , each with a unique ability and also a different combat style .	There are 6 playable characters , each with a unique ability and also a different combat style .
3852	none	Calcium / calmodulin - dependent 3 ' ; , 5 ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .	none	Calcium / calmodulin - dependent three ' ; , five ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .	Calcium / calmodulin - dependent 8 ' ; , 1 ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .
3885	none	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .	none	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining sixteen games of the 2014-15 season .	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 23 games of the 2014-15 season .
3911	none	For example , in order to type a vertical line of 4 cm length , it is sufficient to draw :	none	For example , in order to type a vertical line of four cm length , it is sufficient to draw :	For example , in order to type a vertical line of 1 cm length , it is sufficient to draw :
3923	none	Government also issued 70 permits to private operators on local routes in the district .	none	Government also issued seventy permits to private operators on local routes in the district .	Government also issued 31 permits to private operators on local routes in the district .
3948	none	The album was released on May 26 , 2007 by Furious in the UK and 7 Spin Music in the United States .	none	The album was released on May 26 , 2007 by Furious in the UK and seven Spin Music in the United States .	The album was released on May 26 , 2007 by Furious in the UK and 3 Spin Music in the United States .
4024	none	Keenan played as a 197 cm ruckman and was a good marker of the ball as well as having a solid drop punt .	none	Keenan played as a one hundred and ninety-seven cm ruckman and was a good marker of the ball as well as having a solid drop punt .	Keenan played as a 576 cm ruckman and was a good marker of the ball as well as having a solid drop punt .
4043	none	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .	none	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ three point six million in cash to Gaming Corporation .	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 2.2 million in cash to Gaming Corporation .
4055	none	Utah claims a margin of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .	none	Utah claims a margin of sixty -- thirty-four -- four , while BYU leads Utah claims fifty-seven -- thirty-one -- four .	Utah claims a margin of 74 -- 36 -- 1 , while BYU leads Utah claims 14 -- 56 -- 7 .
4069	none	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .	none	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost four -- ten against Stephen Hendry and eight -- nine against Jimmy White respectively .	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 2 -- 59 against Stephen Hendry and 1 -- 3 against Jimmy White respectively .
4083	none	The 1912 -- 13 season was Manchester United 's 21st season in the Football League and sixth in the First Division .	none	The 1912 -- thirteen season was Manchester United 's 21st season in the Football League and sixth in the First Division .	The 1912 -- 54 season was Manchester United 's 21st season in the Football League and sixth in the First Division .
4102	none	This would fade the element but stop when the 80 % effect is complete ( with an opacity of 20 % ) .	none	This would fade the element but stop when the eighty percent effect is complete ( with an opacity of twenty percent ) .	This would fade the element but stop when the 12 % effect is complete ( with an opacity of 96 % ) .
4108	none	The Shadrick won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .	none	The Shadrick won a by-election in Holsworthy with a majority of sixty-six votes after the death of Liberal Democrat councillor Pam Johns .	The Shadrick won a by-election in Holsworthy with a majority of 63 votes after the death of Liberal Democrat councillor Pam Johns .
4136	none	The main advantages of the Panzer 38 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .	none	The main advantages of the Panzer thirty-eight ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .	The main advantages of the Panzer 36 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .
4142	none	Theodosius died 395 in Milan and was buried in Constantinople .	none	Theodosius died three hundred and ninety-five in Milan and was buried in Constantinople .	Theodosius died 873 in Milan and was buried in Constantinople .
4168	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	From 1800 -- four Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	From 1800 -- 36 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
4217	none	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of 12,000 biographies run by the Canterbury museum .	none	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of twelve thousand biographies run by the Canterbury museum .	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of 34,000 biographies run by the Canterbury museum .
4223	none	Within a few days , around 7,000 female prisoners were evacuated from Sweden to Denmark and then on to Ravensbrück .	none	Within a few days , around seven thousand female prisoners were evacuated from Sweden to Denmark and then on to Ravensbrück .	Within a few days , around 9,000 female prisoners were evacuated from Sweden to Denmark and then on to Ravensbrück .
4270	none	In March 2008 , Sophina participated as Level 10 at the Heart of a Champion Invitational , where she won the title .	none	In March 2008 , Sophina participated as Level ten at the Heart of a Champion Invitational , where she won the title .	In March 2008 , Sophina participated as Level 94 at the Heart of a Champion Invitational , where she won the title .
4289	none	In 235 BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat .	none	In two hundred and thirty-five BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat .	In 531 BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat .
4291	none	Lea Antonoplis and Cammy MacGregor won in the final 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson .	none	Lea Antonoplis and Cammy MacGregor won in the final six -- three , three -- six , seven -- five against Ann Henricksson and Julie Richardson .	Lea Antonoplis and Cammy MacGregor won in the final 4 -- 7 , 5 -- 9 , 2 -- 1 against Ann Henricksson and Julie Richardson .
4319	none	The average gross content of a Croatian worker was 5,895 HRK per month in January 2017 , and the average net content was 7,911 HRK per month .	none	The average gross content of a Croatian worker was five thousand, eight hundred and ninety-five HRK per month in January 2017 , and the average net content was seven thousand, nine hundred and eleven HRK per month .	The average gross content of a Croatian worker was 1,895 HRK per month in January 2017 , and the average net content was 8,911 HRK per month .
4350	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( seventeen point six percent ) .	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 75.3 % ) .
4355	none	Each line has three points , so in the language of configurations the Hesse configuration contains the notation 912 .	none	Each line has three points , so in the language of configurations the Hesse configuration contains the notation nine hundred and twelve .	Each line has three points , so in the language of configurations the Hesse configuration contains the notation 563 .
4362	none	FAM40A is a protein that is encoded in humans on chromosome 1 and is localized by the " FAM40A " gene .	none	FAM40A is a protein that is encoded in humans on chromosome one and is localized by the " FAM40A " gene .	FAM40A is a protein that is encoded in humans on chromosome 8 and is localized by the " FAM40A " gene .
4386	none	Codice 13 is also a compiler - magic - function of oxygene , but is not a real function and is rolled back to conditional statements at compile time .	none	Codice thirteen is also a compiler - magic - function of oxygene , but is not a real function and is rolled back to conditional statements at compile time .	Codice 41 is also a compiler - magic - function of oxygene , but is not a real function and is rolled back to conditional statements at compile time .
4407	none	The season 1988 -- 89 National Basketball Association was the 43rd NBA season .	none	The season 1988 -- eighty-nine National Basketball Association was the 43rd NBA season .	The season 1988 -- 59 National Basketball Association was the 43rd NBA season .
4449	none	All 1 trains skipped Marble Hill -- 225th , 207th , 191st and 145th Streets , while all 9 trains skipped 238th , 215th , Dyckman and 157th Streets .	none	All one trains skipped Marble Hill -- 225th , 207th , 191st and 145th Streets , while all nine trains skipped 238th , 215th , Dyckman and 157th Streets .	All 3 trains skipped Marble Hill -- 225th , 207th , 191st and 145th Streets , while all 3 trains skipped 238th , 215th , Dyckman and 157th Streets .
4458	none	He said that the ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir 990 and that the Americans were covering up the fact .	none	He said that the ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir nine hundred and ninety and that the Americans were covering up the fact .	He said that the ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir 862 and that the Americans were covering up the fact .
4511	none	The municipality is located at the southwestern head of Conception Bay in Division 1 . It is situated southwest of St. Johns and northeast of Placentia .	none	The municipality is located at the southwestern head of Conception Bay in Division one . It is situated southwest of St. Johns and northeast of Placentia .	The municipality is located at the southwestern head of Conception Bay in Division 7 . It is situated southwest of St. Johns and northeast of Placentia .
4534	none	Danai Udomchoke won the tournament after defeating Samuel Groth 7 -- 6 , 6 -- 3 in the final .	none	Danai Udomchoke won the tournament after defeating Samuel Groth seven -- six , six -- three in the final .	Danai Udomchoke won the tournament after defeating Samuel Groth 6 -- 7 , 4 -- 5 in the final .
4574	none	Indore district consists of 4 divisions ; Depalpur , Sanwer , Indore and Mhow .	none	Indore district consists of four divisions ; Depalpur , Sanwer , Indore and Mhow .	Indore district consists of 5 divisions ; Depalpur , Sanwer , Indore and Mhow .
4588	none	Wally Masur defeated Bill Scanlon 6 -- 4 , 7 -- 6 to secure the title .	none	Wally Masur defeated Bill Scanlon six -- four , seven -- six to secure the title .	Wally Masur defeated Bill Scanlon 7 -- 7 , 3 -- 2 to secure the title .
4595	none	The last Pontiac , a white 2010 model year - G6 4 - Doors - Limousine , was built in January 2010 at the Orion Township assembly line .	none	The last Pontiac , a white 2010 model year - G6 four - Doors - Limousine , was built in January 2010 at the Orion Township assembly line .	The last Pontiac , a white 2010 model year - G6 7 - Doors - Limousine , was built in January 2010 at the Orion Township assembly line .
4623	none	In the 2011 census , Muslims formed 131,116 and accounted for 60.38 % of the population in Karimpur II CD block .	none	In the 2011 census , Muslims formed one hundred and thirty-one thousand, one hundred and sixteen and accounted for sixty point three eight percent of the population in Karimpur II CD block .	In the 2011 census , Muslims formed 763,116 and accounted for 25.53 % of the population in Karimpur II CD block .
4634	none	Khaset had one of the 20 nomes in Lower Egypt and was district number 6 .	none	Khaset had one of the twenty nomes in Lower Egypt and was district number six .	Khaset had one of the 13 nomes in Lower Egypt and was district number 9 .
4651	none	There are 18 or 20 early schools in the old texts .	none	There are eighteen or twenty early schools in the old texts .	There are 69 or 32 early schools in the old texts .
4712	none	It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .	none	It is the largest private club in Houston and one of the biggest in the world , with more than three thousand, three hundred members .	It is the largest private club in Houston and one of the biggest in the world , with more than 8,300 members .
4725	none	Before the unification of Yemen in 1990 , the law set the minimum age of marriage at 16 in South Yemen and 15 in the north .	none	Before the unification of Yemen in 1990 , the law set the minimum age of marriage at sixteen in South Yemen and fifteen in the north .	Before the unification of Yemen in 1990 , the law set the minimum age of marriage at 38 in South Yemen and 57 in the north .
4729	none	Several local buses and minibuses operating on the state road D400 to East-West stop at the airport intersection , 800 metres north of the airport terminals .	none	Several local buses and minibuses operating on the state road D400 to East-West stop at the airport intersection , eight hundred metres north of the airport terminals .	Several local buses and minibuses operating on the state road D400 to East-West stop at the airport intersection , 572 metres north of the airport terminals .
4733	none	The lying 10 meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on 11 September at the Shooting Range Hall in Beijing .	none	The lying ten meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on 11 September at the Shooting Range Hall in Beijing .	The lying 61 meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on 11 September at the Shooting Range Hall in Beijing .
4738	none	The prone 10 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .	none	The prone ten metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .	The prone 42 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .
4787	none	The dividends have increased the real " total " return on average equity to the double , about 3.2 % .	none	The dividends have increased the real " total " return on average equity to the double , about three point two percent .	The dividends have increased the real " total " return on average equity to the double , about 5.3 % .
4793	none	The Slovenian ice hockey league in 1993 -- 94 was the third season of the Slovenian ice hockey league .	none	The Slovenian ice hockey league in 1993 -- ninety-four was the third season of the Slovenian ice hockey league .	The Slovenian ice hockey league in 1993 -- 79 was the third season of the Slovenian ice hockey league .
4795	none	In 2012 , he began work on The New 52 series " Batwing " with writer Marcus To and artists ChrisCross and Judd Winick .	none	In 2012 , he began work on The New fifty-two series " Batwing " with writer Marcus To and artists ChrisCross and Judd Winick .	In 2012 , he began work on The New 93 series " Batwing " with writer Marcus To and artists ChrisCross and Judd Winick .
4805	none	The Finnish album " Deathstar Rising " cracked the new album Top 10 and reached place 8th in the first week of March 2011 .	none	The Finnish album " Deathstar Rising " cracked the new album Top ten and reached place 8th in the first week of March 2011 .	The Finnish album " Deathstar Rising " cracked the new album Top 18 and reached place 8th in the first week of March 2011 .
4825	none	The venue has two stages , a small stage ( capacity 300 people ) and a main stage ( capacity 1,100 people ) .	none	The venue has two stages , a small stage ( capacity three hundred people ) and a main stage ( capacity one thousand, one hundred people ) .	The venue has two stages , a small stage ( capacity 491 people ) and a main stage ( capacity 7,100 people ) .
4886	none	In 1883 , the first schools in the area were built for 400 black students and 60 white students .	none	In 1883 , the first schools in the area were built for four hundred black students and sixty white students .	In 1883 , the first schools in the area were built for 483 black students and 54 white students .
4896	none	Route 136 is a cross-regional service connecting the lower districts of North Shore , Forest and Northern Beaches .	none	Route one hundred and thirty-six is a cross-regional service connecting the lower districts of North Shore , Forest and Northern Beaches .	Route 938 is a cross-regional service connecting the lower districts of North Shore , Forest and Northern Beaches .
4921	none	Andrés Gómez defeated Guillermo Pérez Roldán 6 -- 0 , 7 -- 6 , 3 - 6 , 0 - 6 , 6 - 2	none	Andrés Gómez defeated Guillermo Pérez Roldán six -- zero , seven -- six , three - six , zero - six , six - two	Andrés Gómez defeated Guillermo Pérez Roldán 8 -- 1 , 4 -- 9 , 5 - 7 , 7 - 7 , 5 - 7
4926	none	LaFlare confronted Roan Carneiro on February 11 , 2017 at UFC 208 . He won the fight by unanimous decision .	none	LaFlare confronted Roan Carneiro on February 11 , 2017 at UFC two hundred and eight . He won the fight by unanimous decision .	LaFlare confronted Roan Carneiro on February 11 , 2017 at UFC 896 . He won the fight by unanimous decision .
4987	none	106 Herculis is a red giant with a spectral type of M0III . Its surface temperature is about 3,789 K .	none	one hundred and six Herculis is a red giant with a spectral type of M0III . Its surface temperature is about three thousand, seven hundred and eighty-nine K .	879 Herculis is a red giant with a spectral type of M0III . Its surface temperature is about 8,789 K .
5004	none	Alma Peter Crane and Connie Chandler were nominated by the Independent Party of Utah , where Crane and Chandler received 1,101 votes .	none	Alma Peter Crane and Connie Chandler were nominated by the Independent Party of Utah , where Crane and Chandler received one thousand, one hundred and one votes .	Alma Peter Crane and Connie Chandler were nominated by the Independent Party of Utah , where Crane and Chandler received 6,101 votes .
5063	none	The Hamiltonian formula _ 91 is the fractional	none	The Hamiltonian formula _ ninety-one is the fractional	The Hamiltonian formula _ 79 is the fractional
5098	none	Jan Apell and Brent Haygarth won 3 : 6 , 6 : 1 , 6 : 3 against Pat Cash and Patrick Rafter in the final .	none	Jan Apell and Brent Haygarth won three : six , six : one , six : three against Pat Cash and Patrick Rafter in the final .	Jan Apell and Brent Haygarth won 8 : 4 , 2 : 5 , 4 : 4 against Pat Cash and Patrick Rafter in the final .
5165	none	This course will be offered again in 2013 for younger Dunghutti adults , and a Certificate 2 course will be designed for a test run in 2014 .	none	This course will be offered again in 2013 for younger Dunghutti adults , and a Certificate two course will be designed for a test run in 2014 .	This course will be offered again in 2013 for younger Dunghutti adults , and a Certificate 8 course will be designed for a test run in 2014 .
5187	none	There are almost 2,000 islands along the coastline , about three quarters of which are uninhabited .	none	There are almost two thousand islands along the coastline , about three quarters of which are uninhabited .	There are almost 9,000 islands along the coastline , about three quarters of which are uninhabited .
5188	none	The Greek census of 1951 counted a total of 127 Albanian Muslim chams in Epirus .	none	The Greek census of 1951 counted a total of one hundred and twenty-seven Albanian Muslim chams in Epirus .	The Greek census of 1951 counted a total of 427 Albanian Muslim chams in Epirus .
5221	none	Since 1977 , LAGOS has made more than two million pieces . Steven Lagos estimates that he has created 10,000 pieces and 400 to 500 new designs each year .	none	Since 1977 , LAGOS has made more than two million pieces . Steven Lagos estimates that he has created ten thousand pieces and four hundred to five hundred new designs each year .	Since 1977 , LAGOS has made more than two million pieces . Steven Lagos estimates that he has created 63,000 pieces and 745 to 358 new designs each year .
5223	none	The 1879 - 80 Home Nations rugby union matches were a series of national rugby union friendlies held between the England , Ireland and Scotland international rugby union teams .	none	The 1879 - eighty Home Nations rugby union matches were a series of national rugby union friendlies held between the England , Ireland and Scotland international rugby union teams .	The 1879 - 51 Home Nations rugby union matches were a series of national rugby union friendlies held between the England , Ireland and Scotland international rugby union teams .
5250	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got eight children .	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 5 children .
5272	none	The park is situated 65 km northeast of Fianarantsoa and 139 km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .	none	The park is situated sixty-five km northeast of Fianarantsoa and one hundred and thirty-nine km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .	The park is situated 49 km northeast of Fianarantsoa and 915 km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .
5275	none	Also Shikigami No Shiro II has been released and translated for the PlayStation 2 under its own name , Castle Shikigami 2 .	none	Also Shikigami No Shiro II has been released and translated for the PlayStation two under its own name , Castle Shikigami two .	Also Shikigami No Shiro II has been released and translated for the PlayStation 7 under its own name , Castle Shikigami 8 .
5281	none	He first appeared in " ASAP 09 " in the D-Lite segment where he performed with Karylle , Toni Gonzaga and Nikki Gil .	none	He first appeared in " ASAP nine " in the D-Lite segment where he performed with Karylle , Toni Gonzaga and Nikki Gil .	He first appeared in " ASAP 46 " in the D-Lite segment where he performed with Karylle , Toni Gonzaga and Nikki Gil .
5306	none	The original algorithm , however , would divide the new interval into a smaller and a larger subinterval in Step 4 .	none	The original algorithm , however , would divide the new interval into a smaller and a larger subinterval in Step four .	The original algorithm , however , would divide the new interval into a smaller and a larger subinterval in Step 1 .
5310	none	Paul Cirja # 7 passed 2 TD scramble and also scored 2 TD one to Florin Oltean # 85 and one to Dan Crasnic # 93 .	none	Paul Cirja # seven passed two TD scramble and also scored two TD one to Florin Oltean # eighty-five and one to Dan Crasnic # ninety-three .	Paul Cirja # 1 passed 3 TD scramble and also scored 7 TD one to Florin Oltean # 38 and one to Dan Crasnic # 32 .
5555	none	The Riemann Zeta function is defined by the absolutely convergent infinite row for reelle " s " with complex part greater than 1 .	none	The Riemann Zeta function is defined by the absolutely convergent infinite row for reelle " s " with complex part greater than one .	The Riemann Zeta function is defined by the absolutely convergent infinite row for reelle " s " with complex part greater than 6 .
5602	none	It is located at 142 South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .	none	It is located at one hundred and forty-two South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .	It is located at 369 South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .
5614	none	It is 2 km west of Agios Stefanos and 20 km northeast of Athens city centre .	none	It is two km west of Agios Stefanos and twenty km northeast of Athens city centre .	It is 4 km west of Agios Stefanos and 51 km northeast of Athens city centre .
5631	none	Ben Peterson of AllMusic gave the album 4 out of 5 stars and consistently called it imaginative and never predictable " .	none	Ben Peterson of AllMusic gave the album four out of five stars and consistently called it imaginative and never predictable " .	Ben Peterson of AllMusic gave the album 6 out of 9 stars and consistently called it imaginative and never predictable " .
5647	none	Sri Parashakthi Kshetra is located almost 30 km from Mangalore International Airport and 20 km from Mangalore Railway Station .	none	Sri Parashakthi Kshetra is located almost thirty km from Mangalore International Airport and twenty km from Mangalore Railway Station .	Sri Parashakthi Kshetra is located almost 96 km from Mangalore International Airport and 54 km from Mangalore Railway Station .
5656	none	It is the largest private club in Houston and one of the biggest in the world , with over 3,300 members .	none	It is the largest private club in Houston and one of the biggest in the world , with over three thousand, three hundred members .	It is the largest private club in Houston and one of the biggest in the world , with over 4,300 members .
5671	none	A simpler method suitable for finding the odd letter of the year was discovered in 2010 and is called " dominical plus 11 " method .	none	A simpler method suitable for finding the odd letter of the year was discovered in 2010 and is called " dominical plus eleven " method .	A simpler method suitable for finding the odd letter of the year was discovered in 2010 and is called " dominical plus 86 " method .
5672	none	The SSSI covers an area of 190,3 hectares , while the SAC has 168.3 hectares .	none	The SSSI covers an area of one thousand, nine hundred and three hectares , while the SAC has one hundred and sixty-eight point three hectares .	The SSSI covers an area of 783,3 hectares , while the SAC has 543.9 hectares .
5677	none	There are 7 blue running , 21 red runs , 11 green runs and 4 black runs .	none	There are seven blue running , twenty-one red runs , eleven green runs and four black runs .	There are 9 blue running , 96 red runs , 96 green runs and 3 black runs .
