4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of flow can be based , the results are high .
1778	none	Jeremy Horn lives in his hometown of Memphis , with his wife Denise and children Judah , Liam and Daisy .	none	Jeremy Horn lives in his hometown of Memphis, with his wife Denise and children Judah, Liam and Daisy.	Jeremy Horn incorporates in his hometown of Memphis , with his wife Denise and children Judah , Liam and Daisy .
1779	none	As professor of Sociology at ETH Zurich , he worked on evolutionary game theory and agent-based computer simulations of social processes and phenomena .	none	As a professor of sociology at ETH Zurich, he worked on evolutionary game theory and agent-based computer simulations of social processes and phenomena.	As professor of Sociology at ETH Zurich , he announced on evolutionary game theory and agent-based computer simulations of social processes and phenomena .
1780	none	Kuklinski told him , after Hoffman gave him the money , that the deal was a cunning .	none	Kuklinski told him after Hoffman gave him the money that the deal was a trick.	Kuklinski had him , after Hoffman gave him the money , that the deal was a cunning .
1785	none	The poetic cosmogony of Thales , who made water the first element , can be seen as a natural excess of this pre-socratic thinking .	none	The poetic cosmogony of Thales, which made water the first element, can be seen as a natural surplus of this presocratic thinking.	The poetic cosmogony of Thales , who obtained water the first element , can be seen as a natural excess of this pre-socratic thinking .
1788	none	The series was written by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch .	none	The series was written by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch.	The series was extended by Butch Guice by Ed Brubaker and illustrated by Bryan Hitch .
1789	none	Paavo Mikkonen ( born January 25 , 1942 ) is a former Finnish sports shooter .	none	He was born in Stockholm in 1942.	Paavo Mikkonen ( received January 25 , 1942 ) is a former Finnish sports shooter .
1790	none	Nicklas Kulti defeated Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4	none	Nicklas Kulti defeated Evgeny Kafelnikov 6 -- 7, 6 -- 3, 6 -- 4	Nicklas Kulti treated Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4
1793	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .	none	Mudzuri defeated ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by 262.275 votes to 56,796 for Midzi.	Mudzuri were ZANU-PF candidate Amos Midzi in the March 2002 mayoral election by a large margin , receiving 262,275 votes against 56,796 votes for Midzi .
1794	none	It surrounds the modern city of Lakhish and the ancient city of Kiryat Gat .	none	It surrounds the modern city of Lakhish and the old city of Kiryat Gat.	It boosts the modern city of Lakhish and the ancient city of Kiryat Gat .
1796	none	In the narrative , between the current and the next season , we found out that Guido is dead by a car accident .	none	In the story, between the current and next season, we found out that Guido is dead in a car accident.	In the narrative , between the current and the next season , we secured out that Guido is dead by a car accident .
1797	none	The Noir Bois , a Swiss settlement and the Paleolithic settlement Pré Monsieur are performed as a national heritage of Paleolithic and Medieval significance .	none	The Noir Bois, a Swiss settlement and the Paleolithic settlement Pré Monsieur are carried out as a national heritage of paleolithic and medieval importance.	The Noir Bois , a Swiss settlement and the Paleolithic settlement Pré Monsieur are covered as a national heritage of Paleolithic and Medieval significance .
1798	none	In many cases , the former burgh settlement would become a German suburb of the Slavic town ( " Wiek " , " Wieck " ) .	none	In many cases, the former Burghsiedlung would become a German suburb of the Slavic city ("Wiek ", " Wieck ").	In many cases , the former burgh settlement would provide a German suburb of the Slavic town ( `` Wiek `` , `` Wieck `` ) .
1799	none	The states that took part in this study were Aguascalientes , Chiapas , Chihuahua , Durango , Guerrero , Jalisco , Oaxaca , Sinaloa , Veracruz and Yucatan .	none	The countries involved in this study were Aguascalientes, Chiapas, Chihuahua, Durango, Guerrero, Jalisco, Oaxaca, Sinaloa, Veracruz and Yucatan.	The states that secured part in this study were Aguascalientes , Chiapas , Chihuahua , Durango , Guerrero , Jalisco , Oaxaca , Sinaloa , Veracruz and Yucatan .
1806	none	LaFlare confronted Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .	none	LaFlare confronts Roan Carneiro at UFC 208 on February 11, 2017 when he won the fight by unanimous decision.	LaFlare proposed Roan Carneiro at UFC 208 on February 11 , 2017 , when he won the fight by unanimous decision .
1808	none	Designed by the architect Henry L. Taylor , it was built by O. R. Woodcock .	none	Designed by architect Henry L. Taylor, it was built by O. R. Woodcock.	selected by the architect Henry L. Taylor , it was built by O. R. Woodcock .
1811	none	The journey begins from Mumbai to Kolhapur , Sindhudurg via Goa , Ajanta Ellora Caves , Nashik and back .	none	The journey starts from Mumbai to Kolhapur, Sindhudurg via Goa, Ajanta Ellora Caves, Nashik and back.	The journey stipulates from Mumbai to Kolhapur , Sindhudurg via Goa , Ajanta Ellora Caves , Nashik and back .
1815	none	They can often be seen long before they are heard .	none	They can often be seen long before they are heard.	They can often be made long before they are heard .
1818	none	The LFAC was officially established in 2005 and the first teams were Belfry Valls , Cornellà Bocs , Valls Fire and Alt Camp .	none	The LFAC was officially founded in 2005 and the first teams were Belfry Valls, Cornellà Bocs, Valls Fire and Alt Camp.	The LFAC was officially organized in 2005 and the first teams were Belfry Valls , Cornellà Bocs , Valls Fire and Alt Camp .
1821	none	These medium to large butterflies have red wings with black and yellow spots and a dark brown edge .	none	These medium to large butterflies have red wings with black and yellow spots and a dark brown edge.	These medium to large butterflies have considered wings with black and yellow spots and a dark brown edge .
1822	none	It aims to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .	none	It aims to appeal to those who love wood and varnish, or the appearance and feeling of well-built and well-drawn boats.	It invests to appeal to those who love wood and varnish , or the look and feeling of well-built and well-drawn boats .
1823	none	The most other common countries of birth were China 14.7 % , Nepal 7.0 % , India 5.1 % , Philippines 2.6 % and England 1.9 % .	none	The most common birth countries were China 14.7%, Nepal 7.0%, India 5.1%, Philippines 2.6% and England 1.9%.	The most other common countries of birth were China 14.7 % , Nepal 7.0 % , India 5.1 % , performs 2.6 % and England 1.9 % .
1826	none	The 119th squadron of helicopters was formed in May 1968 as part of the 48th transport helicopter regiment at Niš Airport .	none	The 119th season of helicopters was formed in May 1968 as part of the 48th transport helicopter regiment at Niš airport.	The 119th squadron of helicopters was estimated in May 1968 as part of the 48th transport helicopter regiment at Niš Airport .
1827	none	It allowed users to create mobile-ready projects that adapt to any screen size and orientation .	none	It enabled users to create mobile projects that adapt to each screen size and alignment.	It noted users to create mobile-ready projects that adapt to any screen size and orientation .
1831	none	They are exhibited for veneration in the Great Cathedral in summer and in the Old Cathedral in winter .	none	They are exhibited for worship in the Great Cathedral in summer and in the Old Cathedral in winter.	They are ranked for veneration in the Great Cathedral in summer and in the Old Cathedral in winter .
1833	none	It was written by Leslie H. Martinson , directed by George Kirgo and was originally broadcast April 5 , 1982 on NBC .	none	It was written by Leslie H. Martinson, directed by George Kirgo and originally aired on NBC April 5, 1982.	It was become by Leslie H. Martinson , directed by George Kirgo and was originally broadcast April 5 , 1982 on NBC .
1838	none	Much of the city 's crime , however , is centralized in most of its scattered neighborhoods and western neighborhoods adjacent to Hartsfield-Jackson International Airport .	none	However, much of the crime in the city is centralized in most of its scattered neighborhoods and western neighborhoods alongside Hartsfield-Jackson International Airport.	Much of the city 's crime , however , is completed in most of its scattered neighborhoods and western neighborhoods adjacent to Hartsfield-Jackson International Airport .
1842	none	Triandos was referenced in the second episode of the third season of the HBO original series , " The Wire " .	none	Triandos was referenced in the second episode of the third season of the HBO original series "The Wire".	Triandos was based in the second episode of the third season of the HBO original series , `` The Wire `` .
1843	none	Today , High Point City Lake is located where the original family farmhouse and land was situated .	none	Today, High Point City Lake is located where the original family farmhouse and land lay.	Today , High Point City Lake is organized where the original family farmhouse and land was situated .
1851	none	The Harrison had held the record since 1993 , a year before Bailey was born .	none	The Harrison had held the record since 1993, a year before Bailey was born.	The Harrison had given the record since 1993 , a year before Bailey was born .
1852	none	The tournament requires an import or a pure-foreign player for each team .	none	The tournament requires an import or a pure player for each team.	The tournament concludes an import or a pure-foreign player for each team .
1859	none	Her father , the democrat Calvin L. Rampton , served in the Utah State Senate and ran unsuccessfully in 1964 for the governor of Utah against Mitchell Meich .	none	Her father, the Democrat Calvin L. Rampton, served in the Utah Senate and ran unsuccessfully for the governor of Utah against Mitchell Meich in 1964.	Her father , the democrat Calvin L. Rampton , explored in the Utah State Senate and ran unsuccessfully in 1964 for the governor of Utah against Mitchell Meich .
1865	none	Redmond , Oregon ( Roberts Field ) is a domestic airport in the Deschutes County , Oregon , owned and operated by Redmond Municipal Airport .	none	Redmond, Oregon, is an airport in Deschutes County, Oregon, United States.	Redmond , Oregon ( Roberts Field ) is a domestic airport in the Deschutes County , Oregon , highlighted and operated by Redmond Municipal Airport .
1868	none	He was drafted by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins .	none	He was selected by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins.	He was grouped by the Chicago Cardinals and also played for the Philadelphia Eagles and the Washington Redskins .
1870	none	Residing in NYC , he currently is a member of MJ12 , an instrumental group based in New York .	none	He is currently a member of MJ12, an instrumental group based in New York.	struggling in NYC , he currently is a member of MJ12 , an instrumental group based in New York .
1878	none	He was stranded among the leaders in inherited runners at 51 .	none	At the age of 51, he was stranded among the leaders in the inherited runners.	He was integrated among the leaders in inherited runners at 51 .
1879	none	Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .	none	Notre Dame received half of the $ 7.6 million that NBC paid for the rights each year of the deal and his opponents received the other half.	Notre Dame indicated half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .
1881	none	Winner effects were shown when established non-experienced chicks were placed against dominant chicks in a study by Drummond .	none	Winning effects were shown when established non-experienced chicks were placed in a Drummond study against dominant chicks.	Winner effects were targeted when established non-experienced chicks were placed against dominant chicks in a study by Drummond .
1882	none	With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .	none	With the weakening of the Canadian dollar, sales and exports in manufacturing increased in November and December 2015 and employment increased.	With the weakening of the Canadian dollar , feeling sales and exports rose in November and December 2015 , and employment increased .
1883	none	YU grupa guitarist Dragi Jelić , Željko Nikolić " VD " , Sr " unk " to Todorović and Roze Poze guitarist Ivan Vdović appeared as guests on the EP .	none	YU grupa guitarist Dragi Jelic, Željko Nikolić " VD", Sr "unk" to Todorović and Roze Poze guitarist Ivan Vdović appeared as guests on the EP.	YU grupa guitarist Dragi Jelić , Željko Nikolić `` VD `` , Sr `` unk `` to Todorović and Roze Poze guitarist Ivan Vdović planned as guests on the EP .
1885	none	In February 2010 , the newspaper was sold together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc .	none	In February 2010, the newspaper was sold together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc.	In February 2010 , the newspaper was aimed together with other regional and local titles of the Guardian Media Group to competitor Trinity Mirror plc .
1886	none	It contained Tan Yuling 's bedroom , reading room , the family hall , Buddhist chapel and the separate quarters for Empress Wan Rong and the concubine Puyi .	none	It contained Tan Yuling's bedroom, reading room, family hall, Buddhist chapel and separate quarters for Empress Wan Rong and the Puyi concubine.	It claimed Tan Yuling 's bedroom , reading room , the family hall , Buddhist chapel and the separate quarters for Empress Wan Rong and the concubine Puyi .
1887	none	Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and a rebel who fought for the unification of Kosovo with Albania .	none	Azem Bejta () was an Albanian nationalist and rebel who fought for the unification of Kosovo with Albania.	Azem Bejta ( 1889 -- 1924 ) , commonly ranked as Azem Galica , was an Albanian nationalist and a rebel who fought for the unification of Kosovo with Albania .
1891	none	The High School also serves students from four other postings - communities : Alpha , Bloomsbury ( in Greenwich Township and Lopatcong Township ) , Hunterdon County .	none	The High School also serves students from four other Postings communities: Alpha, Bloomsbury (in Greenwich Township and Lopatcong Township), Hunterdon County.	The High School also pursues students from four other postings - communities : Alpha , Bloomsbury ( in Greenwich Township and Lopatcong Township ) , Hunterdon County .
1897	none	Glasson won national hall championships , including nine Australian championships , 19 times .	none	Glasson won national indoor championships, including nine Australian championships, 19 times.	Glasson managed national hall championships , including nine Australian championships , 19 times .
1900	none	Harte temporarily took over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap " One Life to Live " in 2007 .	none	Harte temporarily took over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap "One Life to Live" in 2007.	Harte temporarily turned over the role of Dr. Michael McBain for Nathaniel Marston on the ABC soap `` One Life to Live `` in 2007 .
1905	none	Richmond Cricket Club was based in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .	none	Richmond Cricket Club was established in Richmond (historic part of Surrey and now in London) and was a leading club in the 18th century.	Richmond Cricket Club was appointed in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .
1906	none	Miranda quotes Voltaire , " If we do not find something pleasant at least we will find something new , " and looks longingly at Oscar .	none	Miranda quotes Voltaire, "If we don't find something pleasant at least we can find something new," and looks longingly at Oscar.	Miranda safeguards Voltaire , `` If we do not find something pleasant at least we will find something new , `` and looks longingly at Oscar .
1915	none	After moving to Turkey as a political refugee in 1988 , he began writing novels about the leftist uprising in Norway .	none	After moving to Turkey in 1988 as a political refugee, he began writing novels about the left-wing uprising in Norway.	After flying to Turkey as a political refugee in 1988 , he began writing novels about the leftist uprising in Norway .
1916	none	Peggy Edenfield testified in the case against her husband George and has also agreed to testify against her son David during his trial .	none	Peggy Edenfield testified against her husband George and also agreed to testify against her son David during his trial.	Peggy Edenfield carried in the case against her husband George and has also agreed to testify against her son David during his trial .
1918	none	John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in the parliament The Main Party or other party in Tanzania called Chadema .	none	John John Magufuli won the presidential election in October 2015 and secured a two-thirds majority in parliament The Main Party or other party in Tanzania called Chadema.	John John Magufuli released the presidential election in October 2015 and secured a two-thirds majority in the parliament The Main Party or other party in Tanzania called Chadema .
1920	none	Antony Worrall Thompson said the pie was intended as a treat for children and was not meant for regular consumption .	none	Antony Worrall Thompson said the cake was intended as a treat for children and was not intended for regular consumption.	Antony Worrall Thompson tweeted the pie was intended as a treat for children and was not meant for regular consumption .
1922	none	James Watson and Francis Crick shared the 1962 Nobel Prize for Physiology and Medicine with Rosalind Franklin ; Maurice Wilkins had already died from cancer in 1958 .	none	James Watson and Francis Crick shared the Nobel Prize in Physiology and Medicine with Rosalind Franklin in 1962; Maurice Wilkins had died of cancer in 1958.	James Watson and Francis Crick notified the 1962 Nobel Prize for Physiology and Medicine with Rosalind Franklin ; Maurice Wilkins had already died from cancer in 1958 .
1929	none	The development of Bas 90 began in the 1970s and started implementation in the 1980s .	none	The development of Bas 90 began in the 1970s and began in the 1980s.	The development of Bas 90 hailed in the 1970s and started implementation in the 1980s .
1930	none	The musical films " Mark Twain " and " Huckleberry Finn " , both based on Tom Sawyer 's novels , were partially shot on site .	none	The music films "Mark Twain" and "Huckleberry Finn", both based on Tom Sawyer's novels, were partly filmed on site.	The musical films `` Mark Twain `` and `` Huckleberry Finn `` , both brought on Tom Sawyer 's novels , were partially shot on site .
1931	none	The standards for 2005 were approved by the California Energy Commission on 5 November 2003 and adopted by the Building Standards Commission on 21 July 2004 .	none	It was approved by the California Energy Commission in November 2003 and adopted by the Building Standards Commission on 21 July 2004.	The standards for 2005 were regarded by the California Energy Commission on 5 November 2003 and adopted by the Building Standards Commission on 21 July 2004 .
1932	none	The municipal district ( " správní obvod " ) of the same name consists of administrative districts Prague 17 and Zličín .	none	The municipality ("správní obvod") consists of the districts of Prague 17 and Zličín.	The municipal district ( `` upgrade obvod `` ) of the same name consists of administrative districts Prague 17 and Zličín .
1933	none	Donnelly was one of several players born in Ireland who benefited from the FAI 's attempts to establish their entire Nordic influence in Ireland .	none	Donnelly was one of several Irish-born players who benefited from the FAI's attempts to establish their entire Nordic influence in Ireland.	Donnelly was one of several players caused in Ireland who benefited from the FAI 's attempts to establish their entire Nordic influence in Ireland .
1938	none	According to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .	none	==Geography==Masontown is located in the northwest of the United States and has an area of 2.1 km2.	arising to the United States Census Bureau , Masontown is a total area of , of which is land and 2.10 % has water .
1946	none	Riverside is located in the 3rd Congressional District and is part of New Jersey 's 7th state legislative district .	none	Riverside is located in the 3rd district of Congress and is part of the 7th district.	Riverside is set in the 3rd Congressional District and is part of New Jersey 's 7th state legislative district .
1954	none	Although sold in Italy , foncies are produced by LU Snack Foods GmbH in Germany .	none	Although sold in Italy, Foncies are manufactured by LU Snack Foods GmbH in Germany.	Although overstressed in Italy , foncies are produced by LU Snack Foods GmbH in Germany .
1955	none	The Samuel J. Tilden House is located on the south side of Gramercy Park , facing the park across Gramercy Park South between Irving Place and Gramercy Park West .	none	Samuel J. Tilden House is located on the south side of Gramercy Park, overlooking the park over Gramercy Park South between Irving Place and Gramercy Park West.	The Samuel J. Tilden House is achieved on the south side of Gramercy Park , facing the park across Gramercy Park South between Irving Place and Gramercy Park West .
1956	none	In this way , under tragic auspices , the Nestorian faith was established in the East .	none	In this way, under tragic patronage, the Nestorian faith was established in the East.	In this way , under tragic auspices , the Nestorian faith was extended in the East .
1958	none	Thus , Montgomery was able to accumulate wealth , create a business , and run a personal library .	none	So, Montgomery was able to accumulate wealth, create a company, and run a personal library.	Thus , Montgomery was able to bear wealth , create a business , and run a personal library .
1964	none	In 1922 , Tzipora Meirov married Sharett ( 12 August , 1896 -- 30 September , 1973 ) and had two sons and one daughter , Jacob , Yael and Chaim .	none	In 1922, Tzipora Meirov married Sharett (12 August, 1896 -- 30 September, 1973) and had two sons and one daughter, Jacob, Yael and Chaim.	In 1922 , Tzipora Meirov insisted Sharett ( 12 August , 1896 -- 30 September , 1973 ) and had two sons and one daughter , Jacob , Yael and Chaim .
1966	none	Atilia Caucidia Tertulla ( flourished 2nd century ) was an aristocratic woman from Ancient Roman society .	none	Atilia Caucidia Tertulla () was an aristocratic woman from ancient Roman society.	Atilia Caucidia Tertulla ( kept 2nd century ) was an aristocratic woman from Ancient Roman society .
1969	none	During the 1745 uprising it was again held by Jacobites and visited twice by Bonnie Prince Charlie .	none	During the 1745 Uprising, it was once again held by Jacobites and twice visited by Bonnie Prince Charlie.	During the 1745 arising it was again held by Jacobites and visited twice by Bonnie Prince Charlie .
1970	none	If he saw two black hats , he could have assumed that he was wearing a white hat .	none	If he saw two black hats, he could have assumed he was wearing a white hat.	If he had two black hats , he could have assumed that he was wearing a white hat .
1971	none	Cao Cao 's forces thought there was an ambush in Zhao Yun 's camp , so they withdrew .	none	Cao Cao's troops thought there was an ambush in Zhao Yun's camp, so they withdrew.	Cao Cao 's forces explored there was an ambush in Zhao Yun 's camp , so they withdrew .
1973	none	RVD tried to reverse the hold , but the flair rolled into the ropes to break the hold .	none	RVD tried to reverse the hold, but the flair rolled into the ropes to break the hold.	RVD planned to reverse the hold , but the flair rolled into the ropes to break the hold .
1975	none	The occupation includes Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Savita Prabhune , Ashok Saraf , Vikram Gokhale , Raja Mayekar , Chandu Parkhi , and	none	The cast includes Ashwini Bhave, Nilu Phule, Sulabha Deshpandey, Satita Prabhune, Ashok Saraf, Vikram Gokhale, Raja Mayekar, Chandu Parkhi, and	The occupation results Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Savita Prabhune , Ashok Saraf , Vikram Gokhale , Raja Mayekar , Chandu Parkhi , and
1976	none	Daniel Pollack announced in February 2016 that Argentina reached an agreement with Paul Singer .	none	Daniel Pollack announced in February 2016 that Argentina has reached an agreement with Paul Singer.	Daniel Pollack obtained in February 2016 that Argentina reached an agreement with Paul Singer .
1983	none	She travelled with John , Marian and Jack in 1912 when they returned to Europe and travelled home with them on the " Titanic " .	none	She travelled with John, Marian and Jack in 1912 when they returned to Europe and traveled home with them on the "Titanic".	She witnessed with John , Marian and Jack in 1912 when they returned to Europe and travelled home with them on the `` Titanic `` .
1984	none	The Hunters is a 2011 French crime horror thriller film directed by Chris Briant . The film was produced by Antoine Huet ,	none	The Hunters is a 2011 French thriller thriller film directed by Chris Briant.	The Hunters is a 2011 French crime horror thriller film opened by Chris Briant . The film was produced by Antoine Huet ,
1985	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 - 4, 6 - 4 in the final to win the title.	Nicholas Monroe and Simon Stadler sent Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .
1987	none	Indonesian dumplings were influenced and brought by Chinese immigrants to Indonesia .	none	Indonesian dumplings were influenced and brought to Indonesia by Chinese immigrants.	Indonesian dumplings were taken and brought by Chinese immigrants to Indonesia .
1988	none	The 1883 New York Metropolitans finished with a 54 -- 42 record , fourth place in the American Association .	none	The 1883 New York Metropolitans finished fourth in the American Association with a 54 - 42 record.	The 1883 New York Metropolitans called with a 54 -- 42 record , fourth place in the American Association .
1993	none	The mine is located near Abakan in the south of Russia in Khakassia .	none	The mine is located near Abakan in southern Russia in Khakassia.	The mine is achieved near Abakan in the south of Russia in Khakassia .
1995	none	Carrie played the entertainment manager and Willie Garson 's gay friend Stanford Blatch .	none	Carrie played the entertainment manager and Willie Garson's gay friend Stanford Blatch.	Carrie found the entertainment manager and Willie Garson 's gay friend Stanford Blatch .
2000	none	In recognition of its history , its administrative importance and its economic success , Cambridge was granted city rights in 1951 .	none	In recognition of its history, its administrative importance and its economic success, Cambridge received city rights in 1951.	In recognition of its history , its administrative importance and its economic success , Cambridge was shared city rights in 1951 .
2002	none	In the 2011 election , Subinay Ghosh of the Trinamool Congress defeated his nearest rival Abani Mohan Joardar of CPI ( M ) .	none	In the 2011 election, Subinay Ghosh defeated his next rival Abani Mohan Joardar of CPI (M) from the Trinamool Congress.	In the 2011 election , Subinay Ghosh of the Trinamool Congress died his nearest rival Abani Mohan Joardar of CPI ( M ) .
2008	none	Varying the assay selected , changes the selective pressure on the cells and therefore can change what properties are used in the transformed cells .	none	Due to the diversity of the selected assay, the selective pressure on the cells changes and can therefore change which properties are used in the transformed cells.	saying the assay selected , changes the selective pressure on the cells and therefore can change what properties are used in the transformed cells .
2014	none	It is found is the Midlands Province , in the central Zimbabwe .	none	It is the Midlands province, in the middle of Zimbabwe.	It is updated is the Midlands Province , in the central Zimbabwe .
2015	none	It was Seymour and Lowell Worley of the local office of Colombia who persuaded Kessler to have a Ray test record .	none	It was Seymour and Lowell Worley from the local office of Colombia who persuaded Kessler to a Ray test record.	It was Seymour and Lowell Worley of the local office of Colombia who attracted Kessler to have a Ray test record .
2021	none	The album was recorded in Brian Elliot Studios in North Hollywood , California , with the engineer David Hines and co-producer Jay Lansford .	none	The album was recorded at Brian Elliot Studios in North Hollywood, California, with engineer David Hines and co-producer Jay Lansford.	The album was created in Brian Elliot Studios in North Hollywood , California , with the engineer David Hines and co-producer Jay Lansford .
2022	none	In 1918 the administrative representation of the parliamentary county of Dublin was increased from two divisions to four .	none	In 1918, the administrative representation of the parliamentary county of Dublin was increased from two divisions to four.	In 1918 the administrative representation of the parliamentary county of Dublin was given from two divisions to four .
2023	none	The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .	none	The Aube has 365 historical monuments, 144 of which are classified and 221 registered.	The Aube has 365 historical monuments , 144 of which are grouped and 221 are registered .
2024	none	María Rosario Santos y Navarro was born the second of six children of Winifredo Santos , a physician , and Nora Navarro .	none	María Rosario Santos y Navarro was born the second of six children of Winifredo Santos, a doctor, and Nora Navarro.	María Rosario Santos y Navarro was marked the second of six children of Winifredo Santos , a physician , and Nora Navarro .
2026	none	There are conditional compilation options to remove the requirement for a 64-bit capable compiler , since many compilers do not support 64-bit arithmetic for microcontrollers and DSPs .	none	There are conditional compilation options to remove the request for a 64-bit compatible compiler, as many compilers do not support 64-bit arithmetic for microcontrollers and DSPs.	There are conditional compilation options to bear the requirement for a 64-bit capable compiler , since many compilers do not support 64-bit arithmetic for microcontrollers and DSPs .
2030	none	In the variational case , eigenvalues can be given a Hermitian characterization .	none	In the case of variations, eigenvalues can be assigned to Hermit's characterization.	In the variational case , eigenvalues can be witnessed a Hermitian characterization .
2031	none	During the early years of the HUAC hearings , Howe was blacklisted and moved to Mexico City to protect the " grey listed " Babb from further harassment .	none	During the early years of HUAC hearings, Howe was blacklisted and moved to Mexico City to protect the "grey" Babb from further harassment.	During the early years of the HUAC hearings , Howe was strengthened and moved to Mexico City to protect the `` grey listed `` Babb from further harassment .
2040	none	In the meantime , Mikka was confronted by his former crew : Nick , Vector , Sib , and Pup .	none	In the meantime Mikka was confronted with his former crew: Nick, Vector, Sib, and Pup.	In the meantime , Mikka was equipped by his former crew : Nick , Vector , Sib , and Pup .
2041	none	He has described the " deep state " as a " Shadow Government " and " Deep state swamp of Obama holdovers and DC lifers " .	none	He described the "deep state" as "shadow government" and "deep state swamp Obama's remnants and DC liver."	He has seen the `` deep state `` as a `` Shadow Government `` and `` Deep state swamp of Obama holdovers and DC lifers `` .
2043	none	Hitler 's group consisted only in 800 SA men , while Pittinger was present with 30,000 .	none	Hitler's group consisted of only 800 SA men, while Pittinger was at 30,000.	Hitler 's group fought only in 800 SA men , while Pittinger was present with 30,000 .
2046	none	Such a distorted peptide , or " modified key " , will automatically become an inhibitor candidate against HIV protease .	none	Such a distorted peptide, or "modified key", automatically becomes an inhibitor candidate for HIV protease.	Such a distorted peptide , or `` exposed key `` , will automatically become an inhibitor candidate against HIV protease .
2050	none	If he saw two white hats , he could have deduced that he was wearing a black hat .	none	If he saw two white hats, he could have concluded that he was wearing a black hat.	If he gathered two white hats , he could have deduced that he was wearing a black hat .
2054	none	On 26 March 2012 , it was first successfully concluded by a 12-year-old American , Tom Schaar .	none	On March 26, 2012, it was successfully completed for the first time by a 12-year-old American, Tom Schaar.	On 26 March 2012 , it was first successfully developed by a 12-year-old American , Tom Schaar .
2056	none	Howes married three times in his life : to Lillian Pechin in 1923 , Catherine Tabor in 1932 , and Mary Donovan Howard in 1937 .	none	Howes married three times in his life: Lillian Pechin in 1923, Catherine Tabor in 1932, and Mary Donovan Howard in 1937.	Howes released three times in his life : to Lillian Pechin in 1923 , Catherine Tabor in 1932 , and Mary Donovan Howard in 1937 .
2057	none	Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .	none	Bandra is a neighborhood in the west of Mumbai in the state of Maharashtra, India. Many personalities in Bollywood, Cricket and Politics live in Bandra.	Bandra is a neighborhood forged in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .
2060	none	John Hale is played by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series " Salem " .	none	==Filmography=====Film======Television=====References====External links==	John Hale is sent by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series `` Salem `` .
2065	none	About the song Billboard wrote : " You know the beat , now you catch the groove .	none	About the song Billboard wrote: "You know the beat, now you catch the groove.	About the song Billboard began : `` You know the beat , now you catch the groove .
2072	none	In return , Grimoald granted him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .	none	In return, Grimoald granted him his daughter in marriage and gave him the Duchy of Spoleto after the death of Atto.	In return , Grimoald blazed him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .
2073	none	As with most languages , the written language tends to use a more formal register than the language spoken .	none	As with most languages, the written language tends to use a more formal register than the language spoken.	As with most languages , the developed language tends to use a more formal register than the language spoken .
2075	none	When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .	none	When taken with fatty foods, the highest plasma concentrations are reached after two hours and the area below the curve is increased by 40%.	When connected with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .
